"directorio","estrato1","sex","age","p6240","p6426","maxEducLevel","ocu","dsi","y_total_m","y_total_m_ha","ingtot","ingtotob","microEmpresa","cuentaPropia","formal","oficio","p6210","p7090","hoursWorkUsual","relab","sizeFirm","age_2","log_Ingresos","female"
4514374,2,0,56,1,142,6,1,0,882333.4375,4289.12109375,882333.416666667,882333.416666667,0,0,1,55,5,2,48,1,5,3136,8.36383711768092,1
4514375,2,0,53,1,112,6,1,0,1275000,6197.91650390625,1275000,1275000,0,0,1,45,5,2,48,1,5,2809,8.73196846679943,1
4514375,2,0,23,1,8,7,1,0,1625000,7899.3056640625,1625000,1625000,0,0,1,39,6,2,48,1,5,529,8.97453014396751,1
4514376,2,1,41,1,2,6,1,0,820857,3908.8427734375,820857,820857,0,0,1,55,5,2,49,1,3,1681,8.27099664330011,0
4514377,2,0,32,1,5,6,1,0,820857,3990.27709960938,820857,820857,0,0,0,32,5,2,48,1,5,1024,8.29161595599613,1
4514378,2,1,62,1,1,4,1,0,1200000,3333.33325195312,1550000,1550000,1,0,0,39,3,2,84,1,2,3844,8.11172805889401,0
4514379,2,1,24,1,1,7,1,0,1693140,8230.5419921875,1693140,1693140,0,0,1,84,6,2,48,1,5,576,9.01560714717557,0
4514380,3,0,43,6,144,7,1,0,3150000,24500,3150000,3150000,0,0,1,13,6,2,30,2,5,1849,10.1064283965328,1
4514380,3,1,55,6,144,7,1,0,2925000,22750,2925000,2925000,0,0,1,13,6,2,30,2,5,3025,10.0323204243791,0
4514381,2,0,73,1,96,4,1,0,737717,4303.34912109375,1587717,1587717,1,0,1,54,3,2,40,3,1,5329,8.36714886389406,1
4514382,2,1,51,1,60,5,1,0,1e+06,4861.111328125,1e+06,1e+06,1,0,0,93,4,2,48,1,2,2601,8.4890223590924,0
4514382,2,0,76,4,360,3,1,0,80000,622.222229003906,80000,80000,1,1,0,79,3,2,30,4,1,5776,6.43329731028616,1
4514383,3,1,47,1,120,6,1,0,5e+05,1944.44445800781,5e+05,5e+05,1,1,0,45,5,2,60,4,1,2209,7.57273158955083,0
4514384,3,0,56,4,6,6,1,0,180000,5250,780000,780000,1,1,0,54,5,2,8,4,1,3136,8.56598335558567,1
4514384,3,0,47,6,108,6,1,0,882523.6875,4290.0458984375,882523.666666667,882523.666666667,0,0,1,97,5,2,48,1,5,2209,8.36405271080131,1
4514384,3,0,29,1,14,6,1,0,1087140,6341.64990234375,1237140,1237140,0,0,1,39,5,2,40,1,4,841,8.75489425053824,1
4514387,3,1,63,6,420,6,1,0,6e+06,29166.666015625,7216666.66666667,7216666.66666667,1,0,0,84,5,2,48,5,2,3969,10.2807817613562,0
4514387,3,0,25,6,48,6,1,0,741473.3125,2883.50732421875,1551473.33333333,1551473.33333333,1,0,1,54,5,2,60,3,1,625,7.96676265309689,1
4514387,3,1,32,6,36,7,1,0,1e+06,4666.66650390625,1e+06,1e+06,1,1,1,18,6,2,50,4,1,1024,8.44820028505205,0
4514388,3,0,24,1,24,6,1,0,935166.6875,4545.94921875,935166.666666667,935166.666666667,0,0,1,58,5,2,48,1,5,576,8.42199183381556,1
4514388,3,1,27,1,24,6,1,0,941166.6875,4575.11572265625,941166.666666667,941166.666666667,0,0,1,58,5,2,48,1,5,729,8.42838727195939,0
4514390,4,1,52,6,174,7,1,0,8977084,46547.84375,11177083.3333333,11177083.3333333,0,0,1,2,6,2,45,2,5,2704,10.7482359604723,0
4514390,4,0,52,1,60,7,1,0,6018333.5,31206.173828125,6018333.33333333,6018333.33333333,0,0,1,2,6,2,45,2,5,2704,10.3483712333287,1
4514390,4,1,25,1,6,7,1,0,1461473.375,7104.38427734375,1461473.33333333,1461473.33333333,0,0,1,2,6,2,48,1,5,625,8.86846737630359,0
4514391,4,0,53,4,144,4,1,0,980000,4763.888671875,980000,980000,1,1,0,84,3,2,48,4,1,2809,8.46881956157809,1
4514391,4,0,30,1,24,7,1,0,2166666.75,10532.408203125,2166666.66666667,2166666.66666667,0,0,1,2,6,2,48,1,4,900,9.26221227823247,1
4514395,3,0,19,1,18,7,1,0,916666.6875,4456.0185546875,916666.666666667,916666.666666667,0,0,1,33,6,2,48,1,5,361,8.40201094557679,1
4514395,3,0,37,6,12,7,1,0,889357,4323.26318359375,889357,889357,0,0,1,41,6,2,48,1,5,1369,8.37176576266504,1
4514395,3,0,18,1,37,7,1,0,1008333.3125,4901.6201171875,1308333.33333333,1308333.33333333,0,0,1,41,6,2,48,1,3,324,8.49732106561134,1
4514397,4,0,39,6,24,7,1,0,737717,8606.6982421875,737717,737717,1,1,0,21,6,2,20,4,2,1521,9.06029604445401,1
4514397,4,1,41,6,84,7,1,0,5416666.5,26331.017578125,6716666.66666667,6716666.66666667,0,0,1,44,6,2,48,1,5,1681,10.1785028988429,0
4514398,4,0,33,1,8,7,1,0,650000,5055.5556640625,650000,650000,0,0,1,53,6,2,30,1,3,1089,8.52824304906573,1
4514401,3,1,59,6,240,7,1,0,750000,5833.33349609375,750000,750000,1,1,0,84,6,2,30,4,1,3481,8.67134389914528,0
4514402,2,1,49,1,120,6,1,0,66666.6640625,222.222213745117,450000,0,1,1,0,81,5,2,70,4,1,2401,5.40367784405889,0
4514402,2,0,53,1,24,6,1,0,849857,4131.24951171875,849857,849857,0,0,1,55,5,2,48,1,5,2809,8.32633518540786,1
4514403,3,0,60,6,240,4,1,0,737717,3825.19921875,897717,737717,1,0,0,54,3,2,45,3,1,3600,8.24936582823768,1
4514404,2,1,27,6,36,7,1,0,120000,3111.11108398438,120000,120000,1,1,0,3,6,2,5,4,1,729,8.04273520310181,0
4514404,2,0,43,6,32,7,1,0,1602000,12460,2018667,1602000,0,0,1,13,6,2,30,2,5,1849,9.43027879234144,1
4514404,2,0,62,6,240,6,1,0,780000,3791.66674804688,780000,780000,0,0,0,92,5,2,48,1,3,3844,8.24056097661395,1
4514405,2,1,47,1,48,6,1,0,3200000,12444.4443359375,3200000,3200000,0,0,0,98,5,2,60,1,3,2209,9.4290295642217,0
4514406,3,1,18,6,0,7,1,0,3e+05,4666.66650390625,3e+05,3e+05,1,0,0,53,6,2,15,1,2,324,8.44820028505205,0
4514406,3,0,44,4,5,7,1,0,7e+05,16333.3330078125,1550000,1550000,0,0,1,37,6,2,10,1,3,1936,9.70096326849481,1
4514409,2,0,42,1,36,6,1,0,8e+05,4666.66650390625,816666.666666667,816666.666666667,1,1,0,57,5,2,40,4,1,1764,8.44820028505205,1
4514409,2,1,23,1,3,6,1,0,8e+05,2333.33325195312,8e+05,8e+05,1,0,0,37,5,2,80,1,2,529,7.75505310449211,0
4514410,3,1,38,6,42,5,1,0,3201666.75,8893.5185546875,3201666.66666667,3201666.66666667,0,0,1,58,4,2,84,1,5,1444,9.09307803813342,0
4514411,3,1,22,1,24,6,1,0,766883.6875,3727.90673828125,766883.666666667,766883.666666667,0,0,1,38,5,2,48,1,5,484,8.2236021589371,0
4514411,3,0,21,1,7,6,1,0,737717,3586.12426757812,737717,737717,1,0,1,6,5,2,48,1,2,441,8.18482730710011,1
4514411,3,1,47,1,48,6,1,0,766883.6875,3727.90673828125,766883.666666667,766883.666666667,0,0,1,85,5,2,48,1,4,2209,8.2236021589371,0
4514411,3,0,50,1,120,6,1,0,798967.0625,3883.86767578125,798967,798967,0,0,1,55,5,2,48,1,5,2500,8.2645867597735,1
4514412,3,1,35,1,144,7,1,0,1541473.375,7193.54248046875,1541473.33333333,1541473.33333333,0,0,1,3,6,1,50,1,5,1225,8.88093902485602,0
4514412,3,0,37,6,36,7,1,0,889217,5187.09912109375,889217,889217,0,0,1,54,6,2,40,1,5,1369,8.55392988369142,1
4514413,2,0,24,1,12,7,1,0,1058300,5487.4814453125,1058300,1058300,0,0,1,21,6,2,45,1,5,576,8.61022467611347,1
4514413,2,0,47,1,96,5,1,0,320000,2074.07397460938,720000,720000,1,0,0,54,4,2,36,3,1,2209,7.63727005575676,1
4514414,2,1,43,1,60,6,1,0,2e+06,6666.66650390625,2300000,2300000,1,1,0,98,5,2,70,4,1,1849,8.80487523945396,0
4514415,3,1,19,1,14,6,1,0,1700000,8263.888671875,1700000,1700000,0,1,0,84,5,2,48,4,3,361,9.01965053925121,0
4514415,3,1,18,6,72,7,1,0,1162306.625,5650.1015625,1320640,1320640,0,0,1,70,6,2,48,1,4,324,8.63942879964264,0
4514415,3,0,46,1,2,6,1,0,360000,2100,530000,360000,1,0,0,54,5,2,40,3,1,2116,7.64969262371151,1
4514416,2,0,57,1,36,6,1,0,780000,3791.66674804688,838333,780000,0,0,1,55,5,2,48,1,5,3249,8.24056097661395,1
4514416,2,1,24,6,24,6,1,0,6e+05,8750,6e+05,6e+05,1,0,0,58,5,1,16,1,2,576,9.07680897935166,0
4514416,2,0,20,1,7,7,1,0,737717,3586.12426757812,737717,737717,0,0,1,33,6,2,48,1,4,400,8.18482730710011,1
4514418,2,0,57,1,120,5,1,0,8e+05,5833.33349609375,1620000,1620000,1,1,1,57,4,2,32,4,1,3249,8.67134389914528,1
4514419,2,1,42,6,18,5,1,0,737717,3442.67944335938,737717,737717,1,0,0,93,4,2,50,1,2,1764,8.14400535512938,0
4514420,2,1,25,1,30,6,1,0,1274806.625,6196.9765625,1274806.66666667,1274806.66666667,0,0,1,37,5,2,48,1,5,625,8.73181680088299,0
4514421,3,0,58,6,132,7,1,0,2333333.25,18148.1484375,2333333.33333333,2333333.33333333,0,0,1,13,6,2,30,2,5,3364,9.80632382002636,1
4514422,2,1,46,1,72,6,1,0,2600000,12133.3330078125,2600000,2600000,0,0,1,39,5,2,50,1,4,2116,9.40371173812808,0
4514423,2,1,54,6,240,5,1,0,5e+05,23333.333984375,5e+05,5e+05,1,1,0,85,4,2,5,4,1,2916,10.0576382602652,0
4514423,2,1,25,1,1,6,1,0,950000,4618.0556640625,950000,950000,0,0,1,45,5,2,48,1,5,625,8.43772904355823,0
4514424,3,0,31,1,24,7,1,0,2166666.75,10532.408203125,2166666.66666667,2166666.66666667,0,0,1,6,6,2,48,1,5,961,9.26221227823247,1
4514428,3,0,23,6,12,7,1,0,1599806.625,8295.2939453125,1599806.66666667,1599806.66666667,0,0,1,2,6,2,45,1,5,529,9.02344363844184,1
4514428,3,1,25,2,3,7,1,0,903140,5268.31689453125,903140,903140,0,0,1,39,6,2,40,1,3,625,8.56946621567264,0
4514429,2,1,26,1,24,6,1,0,1200000,5833.33349609375,1200000,1200000,1,0,0,77,5,2,48,1,2,676,8.67134389914528,0
4514430,3,1,31,1,36,7,1,0,4500000,21875,4500000,4500000,1,0,1,11,6,2,48,5,2,961,9.99309971122582,0
4514430,3,0,35,6,84,7,1,0,4441000,21588.1953125,4441000,4441000,0,0,1,21,6,2,48,1,5,1225,9.97990193096924,1
4514431,2,1,52,1,96,5,1,0,1166473.375,5670.3564453125,1166473.33333333,1166473.33333333,0,0,1,58,4,2,48,1,5,2704,8.64300725988035,0
4514431,2,0,51,1,24,5,1,0,882333.4375,4289.12109375,882333.416666667,882333.416666667,0,0,1,55,4,2,48,1,5,2601,8.36383711768092,1
4514433,2,0,49,1,24,6,1,0,3e+05,1458.33337402344,3e+05,3e+05,1,1,0,79,5,1,48,4,2,2401,7.28504953802539,1
4514433,2,1,60,1,12,6,1,0,1483140,6408.62939453125,1483140,1483140,0,0,1,93,5,2,54,1,5,3600,8.76540070404527,0
4514434,3,1,30,1,84,6,1,0,1304806.625,6342.81005859375,1388140,1388140,0,0,1,58,5,2,48,1,3,900,8.75507717614277,0
4514434,3,1,32,1,1,5,1,0,9e+05,2500,9e+05,9e+05,1,0,0,77,4,2,84,1,2,1024,7.82404601085629,0
4514434,3,1,27,1,1,3,1,0,1223140,5945.8193359375,1223140,1223140,0,0,1,58,3,2,48,1,3,729,8.69044361896214,0
4514435,3,1,52,6,360,6,1,0,6e+05,2000,6e+05,6e+05,1,1,0,79,5,2,70,4,2,2704,7.60090245954208,0
4514435,3,0,48,6,390,6,1,0,6e+05,2000,6e+05,6e+05,1,1,0,79,5,2,70,4,2,2304,7.60090245954208,1
4514435,3,1,21,1,11,7,1,0,737717,3586.12426757812,837717,837717,0,0,1,19,6,1,48,1,5,441,8.18482730710011,0
4514436,2,1,30,1,0,7,1,0,1e+06,4861.111328125,1e+06,1e+06,0,0,1,15,6,2,48,1,5,900,8.4890223590924,0
4514438,3,1,27,1,48,7,1,0,3150000,16333.3330078125,3150000,3150000,0,0,1,8,6,2,45,1,5,729,9.70096326849481,0
4514438,3,1,59,1,336,3,1,0,1166473.375,5670.3564453125,1426473.33333333,1166473.33333333,0,0,1,45,3,2,48,1,5,3481,8.64300725988035,0
4514438,3,0,57,1,12,4,1,0,1300000,7583.33349609375,1300000,1300000,1,0,1,54,3,2,40,3,1,3249,8.9337081571739,1
4514439,3,0,61,1,60,3,1,0,450000,2187.5,450000,450000,1,1,0,55,3,2,48,4,1,3721,7.69051461823177,1
4514439,3,1,52,1,78,4,1,0,8e+05,3888.88891601562,8e+05,8e+05,1,1,0,61,3,2,48,4,1,2704,8.26587877011078,0
4514440,3,1,43,1,24,6,1,0,8e+05,2871.794921875,8e+05,8e+05,1,0,0,84,5,2,65,1,2,1849,7.9626925215862,0
4514442,2,1,42,1,43,7,1,0,1403806.625,6824.06005859375,1403806.66666667,1403806.66666667,0,0,1,58,6,2,48,1,5,1764,8.82820989021628,0
4514444,3,0,50,4,24,7,1,0,350000,2916.66674804688,1130000,1130000,1,1,0,44,6,1,28,4,1,2500,7.97819671858534,1
4514446,4,0,26,1,7,7,1,0,3e+06,11666.6669921875,3e+06,3e+06,1,0,0,45,6,1,60,1,2,676,9.36449107970523,1
4514446,4,0,48,1,7,5,1,0,4e+06,15555.5556640625,5e+06,5e+06,1,0,0,41,4,1,60,5,2,2304,9.65217313123067,1
4514447,3,1,36,6,24,6,1,0,1250000,4166.66650390625,1250000,1250000,1,1,0,84,5,2,70,4,2,1296,8.33487159555978,0
4514448,2,1,22,1,13,6,1,0,820857,3990.27709960938,820857,820857,0,0,1,58,5,2,48,1,4,484,8.29161595599613,0
4514449,3,0,41,1,120,7,1,0,3250000,15798.611328125,3250000,3250000,0,0,1,39,6,2,48,1,5,1681,9.66767732452745,1
4514450,2,0,44,1,144,6,1,0,1254000,6095.83349609375,1254000,1254000,0,0,1,90,5,2,48,1,5,1936,8.71536078336054,1
4514450,2,1,21,1,12,7,1,0,1383140,6723.59716796875,1383140,1383140,0,0,1,55,6,2,48,1,5,441,8.81337858315158,0
4514450,2,1,19,1,11,6,1,0,5e+05,2430.5556640625,5e+05,5e+05,0,0,1,58,5,2,48,2,5,361,7.79587517853245,0
4514450,2,1,37,6,4,6,1,0,8e+05,3111.11108398438,8e+05,8e+05,1,1,0,37,5,1,60,4,1,1369,8.04273520310181,0
4514450,2,0,39,6,20,7,1,0,991333.4375,2360.31762695312,991333.416666667,991333.416666667,0,0,1,79,6,2,48,1,3,1521,7.76655147665555,1
4514451,2,1,19,1,5,6,1,0,3e+05,1000,3e+05,3e+05,0,0,1,58,5,2,70,2,5,361,6.90775527898214,0
4514452,4,1,59,6,72,7,1,0,7984166.5,38811.921875,8272166.66666667,8272166.66666667,1,0,1,3,6,2,48,1,2,3481,10.5664827432348,0
4514452,4,0,53,6,72,7,1,0,972394.1875,4726.916015625,1260394.16666667,1260394.16666667,1,0,1,51,6,2,48,1,2,2809,8.46102826368491,1
4514453,4,0,51,1,9,7,1,0,1.2e+07,44444.4453125,1.2e+07,1.2e+07,0,0,1,21,6,2,60,2,5,2601,10.7019952682851,1
4514453,4,1,50,1,10,7,1,0,2500000,9722.22265625,2500000,2500000,1,1,0,45,6,2,60,4,1,2500,9.18216953965234,0
4514454,4,1,31,6,60,7,1,0,2683333.25,13043.9814453125,2683333.33333333,2683333.33333333,1,0,1,2,6,2,48,1,2,961,9.47608211443906,0
4514454,4,0,56,1,360,7,1,0,3e+06,23333.333984375,3e+06,3e+06,0,0,0,51,6,2,30,5,3,3136,10.0576382602652,1
4514454,4,1,58,1,360,7,1,0,3e+06,17500,3e+06,3e+06,0,0,0,42,6,2,40,5,3,3364,9.76995615991161,0
4514454,4,0,28,1,1,7,1,0,1623333.375,10521.60546875,1623333.33333333,1623333.33333333,0,0,1,39,6,2,36,1,5,784,9.26118608574572,1
4514455,3,0,50,4,4,6,1,0,6e+05,3500,1200000,1200000,1,1,0,41,5,1,40,4,1,2500,8.1605182474775,1
4514456,3,1,26,1,24,7,1,0,1300000,6319.4443359375,1300000,1300000,0,0,1,2,6,2,48,1,4,676,8.7513865617467,0
4514456,3,0,46,1,48,5,1,0,450000,2625,450000,450000,1,1,0,55,4,2,40,4,1,2116,7.87283617502572,1
4514456,3,1,58,1,480,3,1,0,9e+05,4375,9e+05,9e+05,1,1,0,93,3,2,48,4,1,3364,8.38366179879172,0
4514457,2,0,57,4,240,7,1,0,1550000,9041.6669921875,1550000,1550000,0,0,1,13,6,2,40,2,5,3249,9.10959883817695,1
4514458,3,0,49,6,1,7,1,0,6e+05,2333.33325195312,6e+05,6e+05,1,0,1,77,6,2,60,1,2,2401,7.75505310449211,1
4514459,2,0,58,6,120,7,1,0,3375000,16406.25,3375000,3375000,0,0,1,39,6,2,48,2,5,3364,9.70541763877403,1
4514460,3,0,55,4,50,5,1,0,4e+05,2333.33325195312,4e+05,4e+05,1,1,0,45,4,2,40,4,1,3025,7.75505310449211,1
4514460,3,1,25,6,12,6,1,0,883357,4294.0966796875,1033357,883357,0,0,1,87,5,2,48,1,4,625,8.36499649324989,0
4514461,2,0,29,1,60,4,1,0,6e+05,2000,6e+05,6e+05,1,1,0,41,3,2,70,4,1,841,7.60090245954208,1
4514461,2,1,36,1,6,6,1,0,8e+05,3456.7900390625,8e+05,8e+05,1,1,0,41,5,2,54,4,1,1296,8.14809570306489,0
4514462,3,0,51,4,4,4,1,0,360000,1866.66662597656,360000,360000,1,1,0,55,3,2,45,4,1,2601,7.53190956625686,1
4514463,3,0,26,1,3,7,1,0,2654000,12901.388671875,2837333.33333333,2837333.33333333,0,0,1,2,6,2,48,1,5,676,9.46509023353859,1
4514465,1,0,57,1,240,1,1,0,150000,530.303039550781,3e+05,3e+05,1,1,0,55,1,2,48,4,1,3249,6.27344861588374,1
4514466,3,1,51,6,6,6,1,0,1500000,7291.66650390625,1500000,1500000,1,0,0,91,5,2,48,1,2,2601,8.89448740023628,0
4514467,3,1,45,1,3,6,1,0,781000,2603.33325195312,781000,781000,1,0,1,98,5,2,70,1,2,2025,7.86454792290562,0
4514468,2,1,38,1,60,6,1,0,916666.6875,4456.0185546875,916666.666666667,916666.666666667,0,0,1,98,5,2,48,1,4,1444,8.40201094557679,0
4514469,1,1,39,1,5,7,1,0,1500000,4861.111328125,1500000,1500000,1,1,1,79,6,2,72,4,1,1521,8.4890223590924,0
4514470,3,1,36,1,54,7,1,0,5287500,22847.22265625,5287500,5287500,0,0,1,8,6,2,54,2,5,1296,10.0365848421625,0
4514471,1,1,20,6,9,5,1,0,5e+05,2333.33325195312,650000,650000,1,0,0,98,4,2,50,1,2,400,7.75505310449211,0
4514471,1,1,47,1,12,3,1,0,1300000,5055.5556640625,1300000,1300000,1,1,0,98,3,2,60,4,1,2209,8.52824304906573,0
4514471,1,0,49,4,3,5,1,0,3e+05,2916.66674804688,3e+05,3e+05,1,1,0,41,4,1,24,4,1,2401,7.97819671858534,1
4514472,4,0,53,6,240,7,1,0,1.8e+07,75000,1.8e+07,1.8e+07,0,0,1,6,6,2,56,1,5,2809,11.2252433925184,1
4514472,4,0,27,6,24,7,1,0,1500000,5833.33349609375,1500000,1500000,1,1,1,16,6,2,60,4,1,729,8.67134389914528,1
4514474,2,1,22,6,8,6,1,0,820857,2660.18481445312,820857,820857,0,0,1,39,5,2,72,1,5,484,7.8861508784799,0
4514474,2,0,50,4,60,5,1,0,150000,972.222229003906,150000,150000,1,1,0,92,4,2,36,4,1,2500,6.87958440899089,1
4514475,1,1,46,6,3,4,1,0,820857,3990.27709960938,820857,820857,1,0,1,95,3,2,48,1,2,2116,8.29161595599613,0
4514476,1,1,42,6,14,5,1,0,8e+05,3888.88891601562,8e+05,8e+05,1,1,0,51,4,2,48,4,1,1764,8.26587877011078,0
4514476,1,1,18,1,4,6,1,0,862357,3726.23388671875,862357,862357,1,0,1,89,5,2,54,1,2,324,8.22315332072094,0
4514477,2,0,27,1,5,6,1,0,849857,4131.24951171875,849857,849857,0,0,1,79,5,2,48,1,5,729,8.32633518540786,1
4514477,2,0,52,1,264,7,1,0,1226473.375,5962.0234375,1226473.33333333,1226473.33333333,0,0,1,59,6,2,48,1,5,2704,8.69316520537756,1
4514478,1,1,64,1,48,5,1,0,90000,525,90000,90000,1,1,0,45,4,2,40,4,1,4096,6.26339826259162,0
4514479,2,0,55,1,84,6,1,0,250000,1215.27783203125,550000,550000,1,0,0,54,5,2,48,3,1,3025,7.10272799797251,1
4514480,2,1,37,1,12,7,1,0,1300000,6319.4443359375,1300000,1300000,0,0,1,19,6,2,48,1,5,1369,8.7513865617467,0
4514480,2,0,46,1,60,7,1,0,8e+05,3888.88891601562,1450000,1450000,1,1,1,54,6,2,48,4,1,2116,8.26587877011078,1
4514481,1,1,63,1,176,3,1,0,833333.3125,4050.92578125,833333.333333333,833333.333333333,0,0,1,83,3,2,48,1,5,3969,8.3067007219413,0
4514483,2,0,49,1,2,4,1,0,6e+05,4666.66650390625,750000,750000,1,0,0,54,3,2,30,3,1,2401,8.44820028505205,1
4514483,2,1,22,1,0,6,1,0,850000,4131.9443359375,850000,850000,0,0,0,59,5,2,48,1,3,484,8.32650335869126,0
