"directorio","estrato1","sex","age","p6240","p6426","maxEducLevel","ocu","dsi","y_total_m","y_total_m_ha","ingtot","ingtotob","microEmpresa","cuentaPropia","formal","oficio","p6210","p7090","hoursWorkUsual","relab","sizeFirm"
4514382,2,1,51,1,60,5,1,0,1e+06,4861.111328125,1e+06,1e+06,1,0,0,93,4,2,48,1,2
4514382,2,0,76,4,360,3,1,0,80000,622.222229003906,80000,80000,1,1,0,79,3,2,30,4,1
4514383,3,1,47,1,120,6,1,0,5e+05,1944.44445800781,5e+05,5e+05,1,1,0,45,5,2,60,4,1
4514384,3,0,56,4,6,6,1,0,180000,5250,780000,780000,1,1,0,54,5,2,8,4,1
4514384,3,0,47,6,108,6,1,0,882523.6875,4290.0458984375,882523.666666667,882523.666666667,0,0,1,97,5,2,48,1,5
4514384,3,0,29,1,14,6,1,0,1087140,6341.64990234375,1237140,1237140,0,0,1,39,5,2,40,1,4
4514387,3,1,63,6,420,6,1,0,6e+06,29166.666015625,7216666.66666667,7216666.66666667,1,0,0,84,5,2,48,5,2
4514387,3,0,25,6,48,6,1,0,741473.3125,2883.50732421875,1551473.33333333,1551473.33333333,1,0,1,54,5,2,60,3,1
4514387,3,1,32,6,36,7,1,0,1e+06,4666.66650390625,1e+06,1e+06,1,1,1,18,6,2,50,4,1
4514388,3,0,24,1,24,6,1,0,935166.6875,4545.94921875,935166.666666667,935166.666666667,0,0,1,58,5,2,48,1,5
4514388,3,1,27,1,24,6,1,0,941166.6875,4575.11572265625,941166.666666667,941166.666666667,0,0,1,58,5,2,48,1,5
4514390,4,1,52,6,174,7,1,0,8977084,46547.84375,11177083.3333333,11177083.3333333,0,0,1,2,6,2,45,2,5
4514390,4,0,52,1,60,7,1,0,6018333.5,31206.173828125,6018333.33333333,6018333.33333333,0,0,1,2,6,2,45,2,5
4514390,4,1,25,1,6,7,1,0,1461473.375,7104.38427734375,1461473.33333333,1461473.33333333,0,0,1,2,6,2,48,1,5
4514391,4,0,53,4,144,4,1,0,980000,4763.888671875,980000,980000,1,1,0,84,3,2,48,4,1
4514391,4,0,30,1,24,7,1,0,2166666.75,10532.408203125,2166666.66666667,2166666.66666667,0,0,1,2,6,2,48,1,4
4514395,3,0,19,1,18,7,1,0,916666.6875,4456.0185546875,916666.666666667,916666.666666667,0,0,1,33,6,2,48,1,5
4514395,3,0,37,6,12,7,1,0,889357,4323.26318359375,889357,889357,0,0,1,41,6,2,48,1,5
4514395,3,0,18,1,37,7,1,0,1008333.3125,4901.6201171875,1308333.33333333,1308333.33333333,0,0,1,41,6,2,48,1,3
4514397,4,0,39,6,24,7,1,0,737717,8606.6982421875,737717,737717,1,1,0,21,6,2,20,4,2
4514397,4,1,41,6,84,7,1,0,5416666.5,26331.017578125,6716666.66666667,6716666.66666667,0,0,1,44,6,2,48,1,5
4514398,4,0,33,1,8,7,1,0,650000,5055.5556640625,650000,650000,0,0,1,53,6,2,30,1,3
4514401,3,1,59,6,240,7,1,0,750000,5833.33349609375,750000,750000,1,1,0,84,6,2,30,4,1
4514402,2,1,49,1,120,6,1,0,66666.6640625,222.222213745117,450000,0,1,1,0,81,5,2,70,4,1
4514402,2,0,53,1,24,6,1,0,849857,4131.24951171875,849857,849857,0,0,1,55,5,2,48,1,5
4514403,3,0,60,6,240,4,1,0,737717,3825.19921875,897717,737717,1,0,0,54,3,2,45,3,1
4514404,2,1,27,6,36,7,1,0,120000,3111.11108398438,120000,120000,1,1,0,3,6,2,5,4,1
4514404,2,0,43,6,32,7,1,0,1602000,12460,2018667,1602000,0,0,1,13,6,2,30,2,5
4514404,2,0,62,6,240,6,1,0,780000,3791.66674804688,780000,780000,0,0,0,92,5,2,48,1,3
4514405,2,1,47,1,48,6,1,0,3200000,12444.4443359375,3200000,3200000,0,0,0,98,5,2,60,1,3
4514406,3,1,18,6,0,7,1,0,3e+05,4666.66650390625,3e+05,3e+05,1,0,0,53,6,2,15,1,2
4514406,3,0,44,4,5,7,1,0,7e+05,16333.3330078125,1550000,1550000,0,0,1,37,6,2,10,1,3
4514409,2,0,42,1,36,6,1,0,8e+05,4666.66650390625,816666.666666667,816666.666666667,1,1,0,57,5,2,40,4,1
4514409,2,1,23,1,3,6,1,0,8e+05,2333.33325195312,8e+05,8e+05,1,0,0,37,5,2,80,1,2
4514410,3,1,38,6,42,5,1,0,3201666.75,8893.5185546875,3201666.66666667,3201666.66666667,0,0,1,58,4,2,84,1,5
4514411,3,1,22,1,24,6,1,0,766883.6875,3727.90673828125,766883.666666667,766883.666666667,0,0,1,38,5,2,48,1,5
4514411,3,0,21,1,7,6,1,0,737717,3586.12426757812,737717,737717,1,0,1,6,5,2,48,1,2
4514411,3,1,47,1,48,6,1,0,766883.6875,3727.90673828125,766883.666666667,766883.666666667,0,0,1,85,5,2,48,1,4
4514411,3,0,50,1,120,6,1,0,798967.0625,3883.86767578125,798967,798967,0,0,1,55,5,2,48,1,5
4514412,3,1,35,1,144,7,1,0,1541473.375,7193.54248046875,1541473.33333333,1541473.33333333,0,0,1,3,6,1,50,1,5
4514412,3,0,37,6,36,7,1,0,889217,5187.09912109375,889217,889217,0,0,1,54,6,2,40,1,5
4514413,2,0,24,1,12,7,1,0,1058300,5487.4814453125,1058300,1058300,0,0,1,21,6,2,45,1,5
4514413,2,0,47,1,96,5,1,0,320000,2074.07397460938,720000,720000,1,0,0,54,4,2,36,3,1
4514414,2,1,43,1,60,6,1,0,2e+06,6666.66650390625,2300000,2300000,1,1,0,98,5,2,70,4,1
4514415,3,1,19,1,14,6,1,0,1700000,8263.888671875,1700000,1700000,0,1,0,84,5,2,48,4,3
4514415,3,1,18,6,72,7,1,0,1162306.625,5650.1015625,1320640,1320640,0,0,1,70,6,2,48,1,4
4514415,3,0,46,1,2,6,1,0,360000,2100,530000,360000,1,0,0,54,5,2,40,3,1
4514416,2,0,57,1,36,6,1,0,780000,3791.66674804688,838333,780000,0,0,1,55,5,2,48,1,5
4514416,2,1,24,6,24,6,1,0,6e+05,8750,6e+05,6e+05,1,0,0,58,5,1,16,1,2
4514416,2,0,20,1,7,7,1,0,737717,3586.12426757812,737717,737717,0,0,1,33,6,2,48,1,4
4514418,2,0,57,1,120,5,1,0,8e+05,5833.33349609375,1620000,1620000,1,1,1,57,4,2,32,4,1
4514419,2,1,42,6,18,5,1,0,737717,3442.67944335938,737717,737717,1,0,0,93,4,2,50,1,2
4514420,2,1,25,1,30,6,1,0,1274806.625,6196.9765625,1274806.66666667,1274806.66666667,0,0,1,37,5,2,48,1,5
4514421,3,0,58,6,132,7,1,0,2333333.25,18148.1484375,2333333.33333333,2333333.33333333,0,0,1,13,6,2,30,2,5
4514422,2,1,46,1,72,6,1,0,2600000,12133.3330078125,2600000,2600000,0,0,1,39,5,2,50,1,4
4514423,2,1,54,6,240,5,1,0,5e+05,23333.333984375,5e+05,5e+05,1,1,0,85,4,2,5,4,1
4514423,2,1,25,1,1,6,1,0,950000,4618.0556640625,950000,950000,0,0,1,45,5,2,48,1,5
4514424,3,0,31,1,24,7,1,0,2166666.75,10532.408203125,2166666.66666667,2166666.66666667,0,0,1,6,6,2,48,1,5
4514428,3,0,23,6,12,7,1,0,1599806.625,8295.2939453125,1599806.66666667,1599806.66666667,0,0,1,2,6,2,45,1,5
4514428,3,1,25,2,3,7,1,0,903140,5268.31689453125,903140,903140,0,0,1,39,6,2,40,1,3
4514429,2,1,26,1,24,6,1,0,1200000,5833.33349609375,1200000,1200000,1,0,0,77,5,2,48,1,2
4514430,3,1,31,1,36,7,1,0,4500000,21875,4500000,4500000,1,0,1,11,6,2,48,5,2
4514430,3,0,35,6,84,7,1,0,4441000,21588.1953125,4441000,4441000,0,0,1,21,6,2,48,1,5
4514431,2,1,52,1,96,5,1,0,1166473.375,5670.3564453125,1166473.33333333,1166473.33333333,0,0,1,58,4,2,48,1,5
4514431,2,0,51,1,24,5,1,0,882333.4375,4289.12109375,882333.416666667,882333.416666667,0,0,1,55,4,2,48,1,5
4514433,2,0,49,1,24,6,1,0,3e+05,1458.33337402344,3e+05,3e+05,1,1,0,79,5,1,48,4,2
4514433,2,1,60,1,12,6,1,0,1483140,6408.62939453125,1483140,1483140,0,0,1,93,5,2,54,1,5
4514434,3,1,30,1,84,6,1,0,1304806.625,6342.81005859375,1388140,1388140,0,0,1,58,5,2,48,1,3
4514434,3,1,32,1,1,5,1,0,9e+05,2500,9e+05,9e+05,1,0,0,77,4,2,84,1,2
4514434,3,1,27,1,1,3,1,0,1223140,5945.8193359375,1223140,1223140,0,0,1,58,3,2,48,1,3
4514435,3,1,52,6,360,6,1,0,6e+05,2000,6e+05,6e+05,1,1,0,79,5,2,70,4,2
4514435,3,0,48,6,390,6,1,0,6e+05,2000,6e+05,6e+05,1,1,0,79,5,2,70,4,2
4514435,3,1,21,1,11,7,1,0,737717,3586.12426757812,837717,837717,0,0,1,19,6,1,48,1,5
4514436,2,1,30,1,0,7,1,0,1e+06,4861.111328125,1e+06,1e+06,0,0,1,15,6,2,48,1,5
4514438,3,1,27,1,48,7,1,0,3150000,16333.3330078125,3150000,3150000,0,0,1,8,6,2,45,1,5
4514438,3,1,59,1,336,3,1,0,1166473.375,5670.3564453125,1426473.33333333,1166473.33333333,0,0,1,45,3,2,48,1,5
4514438,3,0,57,1,12,4,1,0,1300000,7583.33349609375,1300000,1300000,1,0,1,54,3,2,40,3,1
4514439,3,0,61,1,60,3,1,0,450000,2187.5,450000,450000,1,1,0,55,3,2,48,4,1
4514439,3,1,52,1,78,4,1,0,8e+05,3888.88891601562,8e+05,8e+05,1,1,0,61,3,2,48,4,1
4514440,3,1,43,1,24,6,1,0,8e+05,2871.794921875,8e+05,8e+05,1,0,0,84,5,2,65,1,2
4514442,2,1,42,1,43,7,1,0,1403806.625,6824.06005859375,1403806.66666667,1403806.66666667,0,0,1,58,6,2,48,1,5
4514444,3,0,50,4,24,7,1,0,350000,2916.66674804688,1130000,1130000,1,1,0,44,6,1,28,4,1
4514446,4,0,26,1,7,7,1,0,3e+06,11666.6669921875,3e+06,3e+06,1,0,0,45,6,1,60,1,2
4514446,4,0,48,1,7,5,1,0,4e+06,15555.5556640625,5e+06,5e+06,1,0,0,41,4,1,60,5,2
4514447,3,1,36,6,24,6,1,0,1250000,4166.66650390625,1250000,1250000,1,1,0,84,5,2,70,4,2
4514448,2,1,22,1,13,6,1,0,820857,3990.27709960938,820857,820857,0,0,1,58,5,2,48,1,4
4514449,3,0,41,1,120,7,1,0,3250000,15798.611328125,3250000,3250000,0,0,1,39,6,2,48,1,5
4514450,2,0,44,1,144,6,1,0,1254000,6095.83349609375,1254000,1254000,0,0,1,90,5,2,48,1,5
4514450,2,1,21,1,12,7,1,0,1383140,6723.59716796875,1383140,1383140,0,0,1,55,6,2,48,1,5
4514450,2,1,19,1,11,6,1,0,5e+05,2430.5556640625,5e+05,5e+05,0,0,1,58,5,2,48,2,5
4514450,2,1,37,6,4,6,1,0,8e+05,3111.11108398438,8e+05,8e+05,1,1,0,37,5,1,60,4,1
4514450,2,0,39,6,20,7,1,0,991333.4375,2360.31762695312,991333.416666667,991333.416666667,0,0,1,79,6,2,48,1,3
4514451,2,1,19,1,5,6,1,0,3e+05,1000,3e+05,3e+05,0,0,1,58,5,2,70,2,5
4514452,4,1,59,6,72,7,1,0,7984166.5,38811.921875,8272166.66666667,8272166.66666667,1,0,1,3,6,2,48,1,2
4514452,4,0,53,6,72,7,1,0,972394.1875,4726.916015625,1260394.16666667,1260394.16666667,1,0,1,51,6,2,48,1,2
4514453,4,0,51,1,9,7,1,0,1.2e+07,44444.4453125,1.2e+07,1.2e+07,0,0,1,21,6,2,60,2,5
4514453,4,1,50,1,10,7,1,0,2500000,9722.22265625,2500000,2500000,1,1,0,45,6,2,60,4,1
4514454,4,1,31,6,60,7,1,0,2683333.25,13043.9814453125,2683333.33333333,2683333.33333333,1,0,1,2,6,2,48,1,2
4514454,4,0,56,1,360,7,1,0,3e+06,23333.333984375,3e+06,3e+06,0,0,0,51,6,2,30,5,3
4514454,4,1,58,1,360,7,1,0,3e+06,17500,3e+06,3e+06,0,0,0,42,6,2,40,5,3
4514454,4,0,28,1,1,7,1,0,1623333.375,10521.60546875,1623333.33333333,1623333.33333333,0,0,1,39,6,2,36,1,5
4514455,3,0,50,4,4,6,1,0,6e+05,3500,1200000,1200000,1,1,0,41,5,1,40,4,1
4514456,3,1,26,1,24,7,1,0,1300000,6319.4443359375,1300000,1300000,0,0,1,2,6,2,48,1,4
4514456,3,0,46,1,48,5,1,0,450000,2625,450000,450000,1,1,0,55,4,2,40,4,1
4514456,3,1,58,1,480,3,1,0,9e+05,4375,9e+05,9e+05,1,1,0,93,3,2,48,4,1
4514457,2,0,57,4,240,7,1,0,1550000,9041.6669921875,1550000,1550000,0,0,1,13,6,2,40,2,5
4514458,3,0,49,6,1,7,1,0,6e+05,2333.33325195312,6e+05,6e+05,1,0,1,77,6,2,60,1,2
4514459,2,0,58,6,120,7,1,0,3375000,16406.25,3375000,3375000,0,0,1,39,6,2,48,2,5
4514460,3,0,55,4,50,5,1,0,4e+05,2333.33325195312,4e+05,4e+05,1,1,0,45,4,2,40,4,1
4514460,3,1,25,6,12,6,1,0,883357,4294.0966796875,1033357,883357,0,0,1,87,5,2,48,1,4
4514461,2,0,29,1,60,4,1,0,6e+05,2000,6e+05,6e+05,1,1,0,41,3,2,70,4,1
4514461,2,1,36,1,6,6,1,0,8e+05,3456.7900390625,8e+05,8e+05,1,1,0,41,5,2,54,4,1
4514462,3,0,51,4,4,4,1,0,360000,1866.66662597656,360000,360000,1,1,0,55,3,2,45,4,1
4514463,3,0,26,1,3,7,1,0,2654000,12901.388671875,2837333.33333333,2837333.33333333,0,0,1,2,6,2,48,1,5
4514465,1,0,57,1,240,1,1,0,150000,530.303039550781,3e+05,3e+05,1,1,0,55,1,2,48,4,1
4514466,3,1,51,6,6,6,1,0,1500000,7291.66650390625,1500000,1500000,1,0,0,91,5,2,48,1,2
4514467,3,1,45,1,3,6,1,0,781000,2603.33325195312,781000,781000,1,0,1,98,5,2,70,1,2
4514468,2,1,38,1,60,6,1,0,916666.6875,4456.0185546875,916666.666666667,916666.666666667,0,0,1,98,5,2,48,1,4
4514469,1,1,39,1,5,7,1,0,1500000,4861.111328125,1500000,1500000,1,1,1,79,6,2,72,4,1
4514470,3,1,36,1,54,7,1,0,5287500,22847.22265625,5287500,5287500,0,0,1,8,6,2,54,2,5
4514471,1,1,20,6,9,5,1,0,5e+05,2333.33325195312,650000,650000,1,0,0,98,4,2,50,1,2
4514471,1,1,47,1,12,3,1,0,1300000,5055.5556640625,1300000,1300000,1,1,0,98,3,2,60,4,1
4514471,1,0,49,4,3,5,1,0,3e+05,2916.66674804688,3e+05,3e+05,1,1,0,41,4,1,24,4,1
4514472,4,0,53,6,240,7,1,0,1.8e+07,75000,1.8e+07,1.8e+07,0,0,1,6,6,2,56,1,5
4514472,4,0,27,6,24,7,1,0,1500000,5833.33349609375,1500000,1500000,1,1,1,16,6,2,60,4,1
4514474,2,1,22,6,8,6,1,0,820857,2660.18481445312,820857,820857,0,0,1,39,5,2,72,1,5
4514474,2,0,50,4,60,5,1,0,150000,972.222229003906,150000,150000,1,1,0,92,4,2,36,4,1
4514475,1,1,46,6,3,4,1,0,820857,3990.27709960938,820857,820857,1,0,1,95,3,2,48,1,2
4514476,1,1,42,6,14,5,1,0,8e+05,3888.88891601562,8e+05,8e+05,1,1,0,51,4,2,48,4,1
4514476,1,1,18,1,4,6,1,0,862357,3726.23388671875,862357,862357,1,0,1,89,5,2,54,1,2
4514477,2,0,27,1,5,6,1,0,849857,4131.24951171875,849857,849857,0,0,1,79,5,2,48,1,5
4514477,2,0,52,1,264,7,1,0,1226473.375,5962.0234375,1226473.33333333,1226473.33333333,0,0,1,59,6,2,48,1,5
4514478,1,1,64,1,48,5,1,0,90000,525,90000,90000,1,1,0,45,4,2,40,4,1
4514479,2,0,55,1,84,6,1,0,250000,1215.27783203125,550000,550000,1,0,0,54,5,2,48,3,1
4514480,2,1,37,1,12,7,1,0,1300000,6319.4443359375,1300000,1300000,0,0,1,19,6,2,48,1,5
4514480,2,0,46,1,60,7,1,0,8e+05,3888.88891601562,1450000,1450000,1,1,1,54,6,2,48,4,1
4514481,1,1,63,1,176,3,1,0,833333.3125,4050.92578125,833333.333333333,833333.333333333,0,0,1,83,3,2,48,1,5
4514483,2,0,49,1,2,4,1,0,6e+05,4666.66650390625,750000,750000,1,0,0,54,3,2,30,3,1
4514483,2,1,22,1,0,6,1,0,850000,4131.9443359375,850000,850000,0,0,0,59,5,2,48,1,3
4514484,2,1,44,1,36,7,1,0,975000,4739.58349609375,1155000,1155000,0,0,1,36,6,2,48,1,5
4514485,1,1,23,1,7,6,1,0,850023.6875,4132.0595703125,850023.666666667,850023.666666667,0,0,1,39,5,2,48,1,5
4514485,1,1,28,1,6,3,1,0,7e+05,2722.22216796875,7e+05,7e+05,0,0,0,39,3,2,60,1,5
4514488,1,1,41,1,48,5,1,0,820857,3990.27709960938,820857,820857,0,0,1,58,4,2,48,1,4
4514489,2,1,45,6,360,6,1,0,1087140,5284.70849609375,1087140,1087140,0,0,1,98,5,2,48,1,5
4514489,2,0,44,6,300,6,1,0,1025640,5318.13330078125,1025640,1025640,1,0,1,32,5,2,45,1,2
4514490,2,1,40,1,60,7,1,0,1266666.625,5911.11083984375,1266666.66666667,1266666.66666667,0,0,1,21,6,2,50,1,3
4514490,2,0,34,1,132,7,1,0,1132300,5871.18505859375,1132300,1132300,0,0,1,3,6,2,45,1,5
4514491,3,1,26,1,8,6,1,0,866690.3125,3370.46240234375,866690.333333333,866690.333333333,1,0,1,33,5,2,60,1,2
4514491,3,0,23,1,12,6,1,0,941357,5491.2490234375,941357,941357,0,0,1,55,5,2,40,1,5
4514492,3,1,44,1,24,4,1,0,8e+05,4148.14794921875,950000,950000,0,0,0,51,3,2,45,1,3
4514494,3,0,20,1,4,6,1,0,9e+05,4375,9e+05,9e+05,1,0,0,45,5,2,48,1,2
4514494,3,1,44,6,24,4,1,0,911333.4375,4430.09326171875,911333.416666667,911333.416666667,1,0,1,45,3,2,48,1,2
4514494,3,1,20,6,36,5,1,0,9e+05,4200,9e+05,9e+05,1,0,0,45,4,2,50,1,2
4514494,3,1,21,6,24,6,1,0,1316473.375,6399.5234375,1316473.33333333,1316473.33333333,0,0,1,92,5,2,48,1,4
4514496,3,1,24,1,1,7,1,0,2800000,16333.3330078125,2800000,2800000,0,1,1,5,6,2,40,4,5
4514497,2,0,38,4,48,6,1,0,5e+05,4166.66650390625,5e+05,5e+05,1,0,0,51,5,2,28,1,2
4514497,2,1,43,1,24,6,1,0,8e+05,4666.66650390625,8e+05,8e+05,0,0,0,37,5,2,40,1,4
4514498,2,1,32,1,12,6,1,0,1e+06,4861.111328125,1e+06,1e+06,1,0,1,45,5,2,48,1,2
4514499,2,0,44,1,9,6,1,0,5e+05,3070.17553710938,776666.666666667,776666.666666667,1,1,0,45,5,1,24,4,1
4514500,2,0,51,1,9,4,1,0,1095690.25,5113.22119140625,1095690.33333333,1095690.33333333,1,0,1,54,3,2,40,3,1
4514500,2,0,19,6,48,6,1,0,160000,1555.55554199219,160000,160000,1,0,0,53,5,1,24,1,2
4514501,2,0,38,6,48,4,1,0,1166473.375,4536.28515625,1286473.33333333,1286473.33333333,0,0,1,53,3,2,60,1,3
4514501,2,1,43,1,3,4,1,0,754383.6875,3259.6826171875,754383.666666667,754383.666666667,0,0,1,87,3,2,54,1,5
4514502,2,1,54,1,36,6,1,0,920857,5371.666015625,1070857,1070857,0,0,1,98,5,2,40,1,5
4514503,2,0,67,4,204,5,1,0,5e+05,3888.88891601562,1650000,1650000,1,1,0,79,4,2,30,4,1
4514507,2,1,21,1,2,6,1,0,737717,3586.12426757812,737717,737717,0,0,1,56,5,2,48,1,5
4514511,2,0,43,6,7,6,1,0,882333.4375,4117.55615234375,1032333.41666667,882333.416666667,1,0,1,54,5,2,50,3,1
4514512,2,0,43,1,144,7,1,0,1e+06,3111.11108398438,1300000,1300000,1,0,0,41,6,2,72,5,2
4514512,2,0,37,1,60,4,1,0,3e+05,1750,3e+05,3e+05,1,0,0,45,3,2,40,1,2
4514512,2,0,24,3,3,7,1,0,240000,1866.66662597656,240000,240000,1,0,0,53,6,1,30,1,2
4514514,2,0,43,1,6,6,1,0,1080857,5482.60791015625,1080857,1080857,0,0,1,55,5,2,40,1,4
4514514,2,1,43,1,99,7,1,0,1270333.375,6175.2314453125,1820333.41666667,1820333.41666667,0,0,1,33,6,2,48,1,5
4514515,2,1,33,1,5,6,1,0,8e+05,3733.33325195312,8e+05,8e+05,0,0,0,95,5,2,50,1,3
4514516,2,0,32,1,12,7,1,0,3075000,17937.5,3075000,3075000,0,0,1,6,6,2,40,1,5
4514518,2,1,52,1,168,6,1,0,1737140,8444.4306640625,2117140,1737140,0,0,1,98,5,2,48,1,5
4514518,2,0,23,6,36,7,1,0,1166473.375,6329.70068359375,1166473.33333333,1166473.33333333,0,0,1,33,6,2,43,1,4
4514519,1,1,35,1,132,6,1,0,859193.4375,2784.42309570312,1389193.41666667,1389193.41666667,0,0,1,98,5,2,72,1,5
4514520,1,0,23,1,3,6,1,0,911333.4375,4430.09326171875,911333.416666667,911333.416666667,0,0,1,55,5,2,48,1,5
4514521,1,0,21,1,36,7,1,0,8e+05,2592.59252929688,8e+05,8e+05,0,0,0,59,6,2,72,1,4
