"directorio","estrato1","sex","age","p6240","p6426","maxEducLevel","ocu","dsi","y_total_m","y_total_m_ha","ingtot","ingtotob","microEmpresa","cuentaPropia","formal","oficio","p6210","p7090","hoursWorkUsual","relab","sizeFirm"
4572283,4,0,25,1,24,7,1,0,2962500,14401.0419921875,2962500,2962500,0,0,1,2,6,2,48,1,4
4572283,4,1,27,1,60,7,1,0,2166666.75,10532.408203125,2166666.66666667,2166666.66666667,0,0,1,2,6,2,48,1,4
4572284,3,0,35,1,18,7,1,0,1713211,9993.73046875,1713211,1713211,0,0,1,21,6,2,40,1,5
4572284,3,1,46,1,24,6,1,0,1e+06,5833.33349609375,1e+06,1e+06,1,1,0,41,5,2,40,4,1
4572285,6,1,39,1,180,7,1,0,1.1e+07,64166.66796875,1.1e+07,1.1e+07,0,0,1,21,6,2,40,1,5
4572286,3,0,35,1,132,7,1,0,3310000,17162.962890625,3310000,3310000,0,0,1,11,6,2,45,1,5
4572287,3,1,26,1,1,7,1,0,4200000,24500,4200000,4200000,0,1,1,8,6,2,40,4,5
4572289,2,1,42,1,6,6,1,0,990476.4375,3209.87744140625,990476.416666667,990476.416666667,1,0,1,58,5,2,72,1,2
4572290,2,1,54,1,60,3,1,0,1500000,3125,1500000,1500000,1,1,0,41,3,2,112,4,2
4572290,2,1,34,1,36,6,1,0,5e+05,3888.88891601562,5e+05,5e+05,1,1,0,59,5,1,30,4,1
4572290,2,1,32,1,9,7,1,0,1892377.625,11038.869140625,1892377.66666667,1892377.66666667,0,0,1,33,6,2,40,1,5
4572291,2,0,43,1,240,6,1,0,1499600,8747.6669921875,2182933.33333333,2182933.33333333,0,0,1,39,5,2,40,2,5
4572291,2,0,59,4,2,4,1,0,180000,3000,230000,230000,1,1,0,55,3,2,14,4,1
4572291,2,1,21,1,0,6,1,0,175000,816.666687011719,175000,175000,1,0,0,58,5,2,50,1,2
4572292,2,0,39,1,192,5,1,0,6e+05,2500,780000,780000,1,1,0,41,4,2,56,4,1
4572293,3,0,32,1,36,7,1,0,1662500,7459.93603515625,1662500,1662500,0,0,1,39,6,2,48,1,5
4572294,2,1,44,1,1,7,1,0,480000,1866.66662597656,480000,480000,1,0,0,87,6,2,60,1,2
4572294,2,1,38,1,1,6,1,0,1200000,5833.33349609375,1200000,1200000,0,0,0,95,5,2,48,1,3
4572295,1,1,19,1,3,6,1,0,6e+05,2500,6e+05,6e+05,1,1,0,41,5,2,56,4,1
4572295,1,0,25,1,1,7,1,0,80000,333.333343505859,80000,80000,1,1,0,45,6,2,56,4,1
4572295,1,1,20,1,2,6,1,0,3e+05,1521.73913574219,358333.333333333,358333.333333333,1,1,0,41,5,1,36,4,2
4572295,1,1,50,1,1,7,1,0,869453,4226.5078125,869453,869453,0,0,1,87,6,2,48,1,4
4572299,2,1,59,1,360,4,1,0,4e+05,1555.55554199219,750000,750000,1,1,0,45,3,2,60,4,1
4572300,2,1,22,1,7,7,1,0,7e+05,2474.74755859375,844000,844000,0,0,0,53,6,2,66,1,3
4572300,2,1,26,1,4,7,1,0,880000,3422.22216796875,880000,880000,0,0,0,53,6,2,60,1,3
4572300,2,0,20,1,5,6,1,0,280000,1921.56860351562,4e+05,4e+05,0,0,0,53,5,2,34,1,4
4572300,2,1,22,1,2,7,1,0,4e+05,1866.66662597656,560000,560000,1,0,0,53,6,2,50,1,2
4572301,3,1,41,1,96,7,1,0,1733333.375,16851.8515625,1733333.33333333,1733333.33333333,0,0,1,13,6,1,24,1,5
4572302,4,0,31,1,72,7,1,0,10572000,49336,10655333,10572000,0,0,0,12,6,2,50,1,5
4572302,4,1,21,1,6,7,1,0,1200000,5833.33349609375,1200000,1200000,0,0,1,3,6,2,48,2,5
4572304,2,0,29,1,60,7,1,0,3478211,13526.3759765625,3478211,3478211,0,0,1,21,6,2,40,1,5
4572306,4,0,26,1,24,7,1,0,5e+06,24305.5546875,5e+06,5e+06,0,1,1,31,6,2,48,4,5
4572308,3,0,28,1,60,7,1,0,959929.4375,4666.32373046875,959929.416666667,959929.416666667,0,0,1,45,6,2,48,1,5
4572309,2,0,55,1,48,4,1,0,720000,4200,1230000,1230000,0,0,0,53,3,2,40,1,3
4572312,3,1,24,1,72,7,1,0,1500000,5833.33349609375,1500000,1500000,1,1,0,41,6,2,60,4,2
4572312,3,1,42,1,240,7,1,0,6e+06,23333.333984375,6e+06,6e+06,1,0,1,45,6,2,60,5,2
4572312,3,0,41,1,36,6,1,0,2e+06,7777.77783203125,2e+06,2e+06,1,1,0,39,5,2,60,4,2
4572313,6,1,28,1,42,7,1,0,4500000,26250,4500000,4500000,0,0,1,12,6,2,40,2,5
4572313,6,0,20,1,3,7,1,0,1400000,8166.66650390625,1400000,1400000,0,0,0,44,6,2,40,1,5
4572314,2,1,41,1,24,7,1,0,1e+06,3888.88891601562,1e+06,1e+06,1,0,0,83,6,2,60,5,2
4572316,3,0,24,1,18,6,1,0,954877.6875,4641.7666015625,954877.666666667,954877.666666667,0,0,1,39,5,2,48,1,4
4572317,3,1,39,1,48,7,1,0,2e+06,11111.111328125,2e+06,2e+06,1,1,0,45,6,2,42,4,1
4572320,3,1,47,1,240,5,1,0,8e+05,4666.66650390625,1487492,1487492,1,1,1,41,4,2,40,4,1
4572323,3,0,24,1,12,7,1,0,897286.3125,4361.80859375,897286.333333333,897286.333333333,0,0,1,51,6,2,48,1,5
4572324,3,0,32,1,12,7,1,0,2738333.25,13311.341796875,2738333.33333333,2738333.33333333,0,0,1,45,6,2,48,1,5
4572325,3,1,54,1,372,6,1,0,2600000,12133.3330078125,2600000,2600000,0,0,1,58,5,2,50,2,5
4572325,3,0,28,1,72,7,1,0,2083333.375,10127.3154296875,2083333.33333333,2083333.33333333,0,0,1,12,6,2,48,1,5
4572326,3,0,47,1,156,7,1,0,3e+07,145833.328125,3e+07,3e+07,0,0,1,39,6,2,48,1,5
4572326,3,1,26,1,24,6,1,0,2038211,9907.9697265625,2038211,2038211,0,0,1,84,5,2,48,1,5
4572328,3,0,53,1,120,6,1,0,6e+05,2800,6e+05,6e+05,1,1,0,57,5,2,50,4,1
4572328,3,0,27,1,12,7,1,0,1e+06,4861.111328125,1e+06,1e+06,0,1,1,15,6,2,48,4,4
4572330,3,1,63,1,240,6,1,0,1e+06,5833.33349609375,1e+06,1e+06,1,1,0,41,5,2,40,4,1
4572335,3,1,52,1,216,6,1,0,1100000,4277.77783203125,2e+06,2e+06,0,1,1,84,5,2,60,4,4
4572336,3,1,56,1,24,5,1,0,180000,2100,380000,180000,1,1,0,45,4,1,20,4,1
4575660,2,0,27,1,18,5,1,0,7e+05,3402.77783203125,860000,860000,1,1,0,45,4,2,48,4,2
4575662,4,0,30,1,48,7,1,0,5525000,21486.111328125,6325000,6325000,0,0,1,39,6,2,60,2,5
4575663,2,1,35,1,60,7,1,0,1201544.375,5840.8408203125,1201544.33333333,1201544.33333333,0,0,1,79,6,2,48,1,5
4577342,3,0,51,1,156,6,1,0,961119.6875,4672.109375,961119.666666667,961119.666666667,0,0,1,45,5,2,48,1,5
4577342,3,0,26,1,48,7,1,0,1171544.375,5695.00732421875,1171544.33333333,1171544.33333333,0,0,1,39,6,2,48,1,5
4577344,3,1,41,1,18,6,1,0,1600000,8296.2958984375,1600000,1600000,1,1,1,41,5,2,45,4,1
4577344,3,0,27,1,6,7,1,0,919453,5959.41748046875,919453,919453,1,0,0,44,6,2,36,1,2
4577345,3,1,59,1,36,6,1,0,8e+05,3888.88891601562,8e+05,8e+05,1,1,0,41,5,2,48,4,1
4577345,3,0,60,1,204,7,1,0,1500000,7291.66650390625,1500000,1500000,1,1,0,11,6,2,48,4,1
4577345,3,1,32,1,2,7,1,0,2e+06,6666.66650390625,2350000,2e+06,0,0,1,5,6,2,70,1,5
4577346,3,1,48,4,36,6,1,0,480000,2240,1080000,1080000,1,1,0,37,5,1,50,4,1
4577347,3,1,53,1,3,7,1,0,6500000,31597.22265625,6500000,6500000,0,1,1,2,6,2,48,4,5
4577347,3,0,53,1,12,7,1,0,3066666.5,14311.1103515625,3066666.66666667,3066666.66666667,0,0,1,11,6,2,50,2,5
4577347,3,0,27,1,2,7,1,0,1615000,7536.66650390625,1781667,1615000,0,0,1,39,6,2,50,1,4
4577348,1,1,53,1,2,3,1,0,4e+05,2333.33325195312,1100000,1100000,1,1,0,95,3,2,40,4,1
4577348,1,1,21,1,2,6,1,0,6e+05,2800,6e+05,6e+05,1,1,0,95,5,1,50,4,1
4577350,4,0,40,1,72,7,1,0,5400000,26250,5400000,5400000,0,0,1,21,6,2,48,1,5
4577351,3,1,30,1,12,4,1,0,6e+05,2916.66674804688,6e+05,6e+05,1,0,0,45,3,2,48,1,2
4577351,3,0,37,1,7,4,1,0,550000,2673.61108398438,550000,550000,1,0,0,54,3,2,48,3,1
4577352,3,1,19,3,10,7,1,0,550000,4277.77783203125,550000,550000,0,0,0,37,6,1,30,1,5
4577353,3,0,46,1,180,6,1,0,9e+05,2333.33325195312,9e+05,9e+05,1,0,0,80,5,2,90,5,2
4577354,3,1,25,1,9,7,1,0,966153,4696.5771484375,966153,966153,0,0,1,38,6,2,48,1,5
4577354,3,1,23,1,18,7,1,0,3433333.5,15708.0615234375,3433333.33333333,3433333.33333333,0,0,1,39,6,2,48,1,5
4577355,3,1,58,1,36,7,1,0,1200000,4666.66650390625,1200000,1200000,1,0,0,3,6,2,60,5,2
4577355,3,1,25,1,18,7,1,0,2300000,8944.4443359375,2300000,2300000,0,1,1,39,6,2,60,4,5
4577355,3,0,28,1,36,7,1,0,2185000,10621.52734375,2185000,2185000,0,0,1,39,6,2,48,1,5
4577356,3,1,61,1,120,6,1,0,2200000,12222.22265625,2200000,2200000,1,0,1,45,5,2,42,5,2
4577356,3,0,29,1,2,7,1,0,5e+05,2333.33325195312,5e+05,5e+05,0,0,0,16,6,2,40,1,5
4577357,1,1,55,6,300,5,1,0,959929.4375,5599.58837890625,959929.416666667,959929.416666667,1,0,1,39,4,2,40,1,2
4577357,1,1,24,1,48,7,1,0,930929.4375,4525.3515625,930929.416666667,930929.416666667,0,0,1,45,6,2,48,1,4
4577358,4,1,61,1,180,6,1,0,1500000,10000,1500000,1500000,1,1,0,45,5,2,35,4,1
4577359,3,1,30,1,3,5,1,0,5e+05,2916.66674804688,6e+05,6e+05,1,1,0,45,4,2,40,4,1
4577361,3,1,41,1,12,6,1,0,1e+07,50724.63671875,15500000,15500000,1,1,0,45,5,2,40,4,1
4577361,3,0,35,1,32,7,1,0,1017000,4943.75,1017000,1017000,0,1,0,59,6,2,48,4,5
4577362,3,0,67,1,360,6,1,0,135000,787.5,135000,135000,1,1,0,79,5,2,40,4,1
4577362,3,0,20,1,3,7,1,0,1483333.375,7210.6484375,1483333.33333333,1483333.33333333,0,0,1,39,6,2,48,1,4
4577363,4,0,56,1,12,6,1,0,1500000,11666.6669921875,1500000,1500000,1,0,0,53,5,2,30,5,2
4577363,4,0,28,6,4,7,1,0,1e+05,3888.88891601562,1e+05,1e+05,1,0,0,97,6,1,6,1,2
4577363,4,1,25,1,17,7,1,0,2070000,19320,2070000,2070000,0,1,1,19,6,2,25,4,5
4577365,3,0,28,1,36,7,1,0,2166666.75,10532.408203125,2166666.66666667,2166666.66666667,0,0,1,7,6,1,48,1,5
4577366,1,1,38,1,132,6,1,0,960000,3111.11108398438,1960000,1960000,1,1,0,77,5,2,48,4,1
4577367,1,1,23,1,32,7,1,0,1286611,6254.35888671875,1286611,1286611,0,0,1,3,6,2,48,1,5
4577368,3,1,53,1,240,4,1,0,9e+05,3500,9e+05,9e+05,1,1,0,98,3,1,60,4,1
4577368,3,1,22,1,48,6,1,0,1010929.4375,4914.240234375,1010929.41666667,1010929.41666667,0,0,1,37,5,2,48,1,4
4577371,4,1,50,1,120,5,1,0,858333.3125,4172.45361328125,858333.333333333,858333.333333333,0,0,0,53,4,2,48,1,3
4577372,3,1,19,1,7,7,1,0,902786.3125,4388.54443359375,1112786.33333333,1112786.33333333,0,0,1,3,6,2,48,1,5
4577372,3,1,23,1,18,7,1,0,1298211,6310.748046875,1298211,1298211,0,0,1,3,6,2,48,1,5
4577373,3,0,31,1,1,6,1,0,1e+05,583.333312988281,1e+05,1e+05,1,1,0,57,5,1,40,4,1
4577374,3,1,27,1,72,5,1,0,1583333.375,8209.876953125,1703333.33333333,1703333.33333333,1,0,0,40,4,2,45,1,2
4577374,3,0,25,1,12,6,1,0,8e+05,3888.88891601562,8e+05,8e+05,0,1,0,39,5,2,48,4,4
4577375,3,1,46,1,72,4,1,0,8e+05,3111.11108398438,8e+05,8e+05,1,1,0,41,3,2,60,4,1
4577375,3,0,45,1,96,4,1,0,3e+05,1750,3e+05,3e+05,1,1,0,54,3,2,40,4,1
4577375,3,1,25,1,12,5,1,0,1500000,7000,1500000,1500000,1,0,0,45,4,2,50,1,2
4577377,2,1,38,1,60,4,1,0,6e+05,1944.44445800781,6e+05,6e+05,0,1,0,80,3,2,72,4,3
4577378,2,1,25,1,24,3,1,0,1e+06,3888.88891601562,1e+06,1e+06,0,0,0,95,3,2,60,1,4
4577378,2,0,33,1,30,6,1,0,960929.4375,5605.421875,960929.416666667,960929.416666667,0,0,1,13,5,2,40,1,4
4577379,4,1,46,1,180,7,1,0,5500000,26736.111328125,5500000,5500000,0,0,1,8,6,2,48,1,5
4577380,3,0,35,1,120,7,1,0,1191666.625,5792.82373046875,1441666.66666667,1191666.66666667,0,0,1,33,6,2,48,1,5
4577381,4,1,51,1,240,7,1,0,3270666.75,19078.888671875,3270666.66666667,3270666.66666667,0,0,1,21,6,2,40,2,5
4577382,2,1,24,1,1,6,1,0,850000,2833.33325195312,850000,850000,1,1,0,85,5,2,70,4,2
4577382,2,0,22,1,12,7,1,0,960000,3555.5556640625,1020000,1020000,1,0,0,45,6,2,63,1,2
4577383,2,1,30,1,24,6,1,0,781242,3255.17504882812,921242,921242,1,0,0,45,5,2,56,1,2
4577383,2,0,22,1,8,7,1,0,881828,4286.6640625,881828,881828,0,0,1,45,6,2,48,1,4
4577384,3,0,53,1,36,5,1,0,240000,1400,240000,240000,1,1,0,54,4,2,40,4,1
4577384,3,0,31,1,36,7,1,0,1005000,5862.5,1005000,1005000,0,0,1,59,6,2,40,1,5
4577386,3,1,35,1,48,7,1,0,2166666.75,10532.408203125,2174166.66666667,2166666.66666667,0,0,1,3,6,2,48,1,5
4577388,4,0,55,1,204,7,1,0,4500000,17500,4500000,4500000,0,0,1,2,6,2,60,1,5
4577388,4,1,59,1,148,6,1,0,5e+06,24305.5546875,5e+06,5e+06,1,0,0,21,5,2,48,5,2
4577389,4,1,61,1,60,7,1,0,10125000,47250,10125000,10125000,0,0,1,21,6,2,50,1,5
4577391,2,1,36,1,96,6,1,0,1500000,4166.66650390625,1500000,1500000,1,1,0,41,5,2,84,4,1
4577392,2,0,53,1,120,4,1,0,934453,4542.47998046875,934453,934453,0,0,1,79,3,2,48,1,5
4577392,2,0,23,3,48,7,1,0,788211,7663.16259765625,828211,828211,0,0,1,59,6,2,24,1,5
4577393,1,0,42,1,26,3,1,0,930929.4375,5430.421875,1050929.41666667,930929.416666667,1,0,1,54,3,2,40,3,1
4577393,1,1,22,1,24,7,1,0,1604877.625,9361.7861328125,1604877.66666667,1604877.66666667,0,0,1,11,6,2,40,1,5
4577395,1,1,41,1,12,7,1,0,1342000,6523.611328125,1342000,1342000,0,0,1,45,6,2,48,1,5
4577395,1,0,42,1,12,7,1,0,1660000,8069.4443359375,1660000,1660000,0,0,1,44,6,2,48,1,5
4577396,2,0,44,1,132,6,1,0,949687.4375,4616.5361328125,949687.416666667,949687.416666667,0,0,1,45,5,2,48,1,4
4577397,3,1,22,1,10,7,1,0,2145000,8341.6669921875,2145000,2145000,0,0,1,58,6,2,60,1,4
4577397,3,0,34,1,12,6,1,0,1345411,4360.12841796875,1545411,1545411,0,0,1,85,5,2,72,1,5
4577398,3,1,38,1,36,5,1,0,1211228.375,7065.4990234375,1211228.33333333,1211228.33333333,0,0,1,97,4,2,40,1,5
4577398,3,0,36,4,1,7,1,0,180000,8400,196666.666666667,196666.666666667,1,0,0,36,6,1,5,1,2
4577399,3,1,56,1,120,7,1,0,1e+06,4861.111328125,1e+06,1e+06,1,1,1,45,6,2,48,4,1
4577400,2,0,32,1,40,6,1,0,1259286.25,6121.5302734375,1372286.33333333,1372286.33333333,0,0,1,39,5,2,48,1,5
4577400,2,1,36,2,60,5,1,0,4e+05,2333.33325195312,4e+05,4e+05,1,0,0,45,4,1,40,1,2
4577401,2,1,25,1,10,5,1,0,961119.6875,4672.109375,961119.666666667,961119.666666667,0,0,1,58,4,2,48,1,5
4577401,2,0,34,1,13,6,1,0,1153600,5607.77783203125,1153600,1153600,0,0,1,58,5,2,48,1,3
4577402,2,1,28,1,20,6,1,0,7e+05,2916.66674804688,7e+05,7e+05,1,1,0,45,5,2,56,4,1
4577402,2,0,31,6,9,5,1,0,866280,5053.2998046875,866280,866280,0,0,1,53,4,1,40,1,5
4577404,3,1,65,1,6,4,1,0,780000,3791.66674804688,780000,780000,1,1,0,95,3,2,48,4,1
4577404,3,0,57,1,180,4,1,0,8e+05,2074.07397460938,840000,8e+05,1,1,0,45,3,2,70,4,1
4577405,3,0,36,1,6,7,1,0,869454,4226.5126953125,8869454,869454,0,0,1,38,6,2,48,1,4
4577407,1,1,25,1,48,6,1,0,1288211,6262.13671875,1288211,1288211,0,0,1,98,5,2,48,1,5
4577407,1,0,33,1,36,5,1,0,1e+06,3888.88891601562,1e+06,1e+06,1,0,0,53,4,2,60,1,2
4577407,1,1,18,1,36,6,1,0,6e+05,2333.33325195312,6e+05,6e+05,0,0,0,97,5,2,60,1,4
4577408,2,1,27,1,60,5,1,0,9e+05,2500,9e+05,9e+05,1,1,1,98,4,2,84,4,1
4577408,2,0,29,1,8,5,1,0,6e+05,2592.59252929688,6e+05,6e+05,0,1,0,57,4,2,54,4,4
4577409,2,1,38,1,96,6,1,0,1842211,5970.12841796875,2002211,2002211,0,0,1,58,5,2,72,1,5
4577410,3,1,55,6,12,6,1,0,5e+05,5833.33349609375,3300000,3300000,1,1,1,98,5,2,20,4,1
4577410,3,0,24,1,1,7,1,0,4e+05,3733.33325195312,9e+05,9e+05,1,0,0,54,6,2,25,3,1
4577410,3,1,26,3,31,7,1,0,9e+05,70000,1233333.33333333,1233333.33333333,0,0,0,15,6,1,3,1,5
4577414,2,0,43,1,72,6,1,0,7e+05,4083.33325195312,1500000,7e+05,0,1,0,79,5,2,40,4,3
4577415,1,1,29,1,72,6,1,0,930929.4375,3291.16479492188,930929.416666667,930929.416666667,0,0,1,45,5,2,66,1,4
4577416,2,1,70,1,324,7,1,0,5e+05,3888.88891601562,1774000,1774000,1,1,1,45,6,2,30,4,1
4577418,1,0,50,4,3,5,1,0,50000,1458.33337402344,324000,74000,1,0,0,53,4,1,8,1,2
4577419,1,0,44,4,144,6,1,0,504000,3266.66674804688,584000,584000,1,0,0,53,5,1,36,1,2
4577420,2,0,56,6,10,6,1,0,869453,5071.80908203125,929453,929453,0,0,1,79,5,2,40,1,5
4577420,2,0,29,1,12,7,1,0,1088211,6347.8974609375,1088211,1088211,0,0,1,13,6,2,40,1,4
4577423,2,0,58,1,120,6,1,0,250000,1620.37036132812,250000,250000,1,1,0,53,5,2,36,4,1
4577424,2,0,39,1,0,6,1,0,8e+05,3888.88891601562,8e+05,8e+05,1,0,1,45,5,2,48,1,2
4577426,2,1,39,1,72,6,1,0,1061544.375,5160.28515625,1061544.33333333,1061544.33333333,0,0,1,85,5,2,48,1,5
4577426,2,0,41,6,1,5,1,0,250000,4861.111328125,330000,330000,1,0,0,54,4,2,12,3,1
4577428,2,1,40,1,4,5,1,0,8e+05,3888.88891601562,8e+05,8e+05,0,0,0,58,4,2,48,1,3
4577430,3,1,36,1,28,7,1,0,1379877.625,6707.73828125,1379877.66666667,1379877.66666667,0,0,1,98,6,2,48,1,5
4577430,3,0,35,1,48,7,1,0,1002211,4871.85888671875,1002211,1002211,0,0,1,44,6,2,48,1,5
4577430,3,0,29,1,1,7,1,0,1320211,6417.6923828125,1320211,1320211,0,0,1,11,6,2,48,1,5
4577431,2,1,58,1,432,5,1,0,6e+05,2500,6e+05,6e+05,1,1,0,84,4,2,56,4,1
4577431,2,0,50,1,8,4,1,0,930929.4375,4525.3515625,1230929.41666667,930929.416666667,1,0,1,54,3,2,48,3,1
4577433,2,1,47,1,3,5,1,0,8e+05,3888.88891601562,8e+05,8e+05,0,0,1,95,4,2,48,1,3
4577434,2,1,27,1,60,4,1,0,866666.6875,2888.88891601562,866666.666666667,866666.666666667,1,0,1,77,3,2,70,1,2
4577435,2,1,65,1,180,6,1,0,1500000,7291.66650390625,1500000,1500000,1,1,0,85,5,2,48,4,1
4577436,2,0,27,1,12,7,1,0,1500000,7291.66650390625,1500000,1500000,0,1,1,6,6,2,48,4,5
4577439,2,0,33,1,48,7,1,0,9e+05,4375,9e+05,9e+05,0,1,1,39,6,2,48,4,4
4577440,3,1,30,1,16,7,1,0,2008166.625,9761.9208984375,2008166.66666667,2008166.66666667,0,0,1,3,6,2,48,1,5
4577440,3,0,33,1,3,7,1,0,929000,4515.97216796875,929000,929000,1,0,1,39,6,2,48,1,2
4577440,3,1,66,1,36,4,1,0,360000,1750,360000,360000,1,1,0,41,3,2,48,4,1
4577442,2,0,26,6,8,6,1,0,898619.6875,4368.2900390625,898619.666666667,898619.666666667,0,0,1,55,5,2,48,1,4
4577443,2,0,44,1,1,6,1,0,1e+06,2592.59252929688,1e+06,1e+06,1,1,0,45,5,2,90,4,1
4577443,2,0,64,1,72,1,1,0,931119.6875,4526.2763671875,931119.666666667,931119.666666667,0,0,1,37,1,2,48,1,5
4577444,2,0,29,6,2,7,1,0,1533333.375,8944.4443359375,1616666.66666667,1616666.66666667,0,0,1,13,6,1,40,1,5
4577445,3,1,59,1,12,5,1,0,1113211,3607.62817382812,1113211,1113211,0,0,1,58,4,2,72,1,4
4577446,2,1,44,1,30,5,1,0,1010000,3273.14819335938,1010000,1010000,1,0,1,58,4,2,72,1,2
4577448,2,0,31,1,0,6,1,0,8e+05,3456.7900390625,8e+05,8e+05,1,0,0,45,5,2,54,1,2
4577449,3,0,36,1,60,7,1,0,797908.6875,2659.69555664062,797908.666666667,797908.666666667,1,0,1,97,6,2,70,1,2
4577449,3,1,43,1,220,4,1,0,2800000,9333.3330078125,2800000,2800000,1,0,1,98,3,2,70,5,2
4577451,3,0,48,1,16,7,1,0,898333.3125,4366.89794921875,898333.333333333,898333.333333333,0,0,1,33,6,2,48,1,5
4577451,3,0,26,1,9,7,1,0,1966666.625,9560.1845703125,1966666.66666667,1966666.66666667,0,0,1,38,6,2,48,1,5
4577451,3,0,35,1,4,7,1,0,1279000,6217.361328125,1279000,1279000,0,0,1,33,6,2,48,1,5
4577453,3,1,43,1,60,6,1,0,4e+05,1414.14135742188,4e+05,4e+05,1,1,0,97,5,2,66,4,1
4577453,3,0,35,1,36,6,1,0,992476.4375,4369.39306640625,992476.416666667,992476.416666667,0,0,1,97,5,2,53,1,5
4577453,3,1,43,1,96,6,1,0,5e+05,1944.44445800781,5e+05,5e+05,1,1,0,3,5,2,60,4,1
4577455,1,0,46,4,18,7,1,0,350000,2722.22216796875,350000,350000,1,1,1,13,6,2,30,4,1
4577455,1,1,44,1,120,6,1,0,4e+05,864.197509765625,4e+05,4e+05,1,1,0,98,5,2,108,4,1
4577455,1,1,50,1,420,4,1,0,1500000,3240.74072265625,1500000,1500000,1,1,0,98,3,2,108,4,1
4577456,2,1,67,6,156,3,1,0,2e+05,3111.11108398438,6e+05,6e+05,1,1,0,45,3,2,15,4,1
4577456,2,0,36,1,36,6,1,0,1108333.375,5172.22265625,1458333.33333333,1458333.33333333,0,0,1,32,5,2,50,1,4
4577457,2,1,37,1,2,7,1,0,1301544.375,6326.95166015625,1301544.33333333,1301544.33333333,0,0,1,87,6,2,48,1,5
4577460,2,1,29,1,32,6,1,0,1442211,4807.3701171875,1662211,1662211,0,0,1,98,5,2,70,1,5
4577461,2,1,34,1,24,6,1,0,893382,4342.8291015625,893382,893382,0,0,1,74,5,2,48,1,4
4577462,3,1,55,1,240,6,1,0,1900000,9236.111328125,1900000,1900000,0,0,1,85,5,2,48,2,5
4577463,2,0,61,1,48,5,1,0,180000,1050,1368000,1368000,1,0,1,54,4,2,40,3,1
4577466,2,1,58,1,250,4,1,0,8e+05,2222.22216796875,8e+05,8e+05,1,1,0,51,3,2,84,4,2
4577466,2,0,34,4,3,6,1,0,3e+05,2916.66674804688,383333.333333333,383333.333333333,0,0,0,53,5,1,24,1,4
4577466,2,1,32,1,72,6,1,0,8e+05,3111.11108398438,8e+05,8e+05,0,0,0,51,5,1,60,5,4
4577467,3,0,26,1,36,7,1,0,1780000,6922.22216796875,1780000,1780000,0,1,1,59,6,2,60,4,5
4577470,2,1,32,1,12,6,1,0,950000,3358.5859375,950000,950000,1,0,0,53,5,2,66,1,2
4577471,2,0,53,1,15,6,1,0,869453,5071.80908203125,969453,969453,0,0,1,53,5,2,40,1,4
4577471,2,1,28,1,2,7,1,0,4e+05,1555.55554199219,5e+05,5e+05,1,0,0,84,6,2,60,1,2
4577472,2,0,47,6,36,6,1,0,420000,3062.5,420000,420000,1,1,0,54,5,1,32,4,1
4577472,2,0,21,1,18,6,1,0,960929.4375,5095.837890625,960929.416666667,960929.416666667,0,0,1,33,5,2,44,1,4
4577472,2,0,21,6,42,7,1,0,930929.4375,4827.04150390625,930929.416666667,930929.416666667,0,0,1,39,6,2,45,1,5
4577473,2,1,46,1,24,5,1,0,1063211,5168.38671875,1063211,1063211,0,0,1,81,4,2,48,1,4
4577474,2,1,33,1,60,5,1,0,1150000,3726.85180664062,1150000,1150000,0,0,0,33,4,2,72,1,3
4577474,2,0,33,1,4,6,1,0,1129000,5488.1943359375,1129000,1129000,0,0,1,39,5,2,48,1,5
4577475,2,1,44,1,8,6,1,0,974666.6875,3248.88891601562,974666.666666667,974666.666666667,0,0,1,98,5,2,70,1,5
4577475,2,0,32,1,36,6,1,0,980715.3125,4767.3662109375,980715.333333333,980715.333333333,0,0,1,55,5,2,48,1,5
4577476,2,0,40,4,3,6,1,0,125833.3359375,1631.1728515625,145833.333333333,145833.333333333,1,0,0,33,5,1,18,1,2
4577476,2,1,22,1,12,6,1,0,1300000,4595.95947265625,1300000,1300000,0,1,0,61,5,2,66,4,4
4577477,3,0,29,1,84,7,1,0,2963333.5,17286.111328125,2963333.33333333,2963333.33333333,0,0,1,12,6,2,40,2,5
4577478,3,0,26,1,24,5,1,0,1495200,5814.66650390625,1795200,1795200,0,0,1,45,4,2,60,1,4
4577478,3,1,26,1,24,4,1,0,1500000,7291.66650390625,1500000,1500000,1,1,0,41,3,2,48,4,1
4577479,2,1,27,1,1,6,1,0,1141211,5547.5537109375,1141211,1141211,0,0,1,58,5,2,48,1,5
4577479,2,0,26,1,1,5,1,0,5e+05,1944.44445800781,5e+05,5e+05,0,1,0,79,4,2,60,4,3
4577480,2,1,25,1,3,6,1,0,688211,3345.47021484375,688211,688211,1,0,1,95,5,2,48,1,2
4577480,2,0,22,1,48,7,1,0,5e+05,2333.33325195312,5e+05,5e+05,1,0,1,3,6,2,50,1,2
4577481,3,0,53,1,240,5,1,0,952786.375,4631.6005859375,952786.333333333,952786.333333333,0,0,1,37,4,2,48,1,5
4577481,3,1,26,1,11,7,1,0,1188211,5776.02587890625,1188211,1188211,0,0,1,3,6,2,48,1,5
4577481,3,0,28,1,60,6,1,0,951119.625,4623.498046875,951119.666666667,951119.666666667,0,0,1,88,5,2,48,1,4
4577482,2,0,43,1,12,7,1,0,1200000,5833.33349609375,1200000,1200000,0,1,1,59,6,2,48,4,5
