"","estrato1","sex","age","p6240","p6426","ina","maxEducLevel","ocu","dsi","y_total_m_ha"
"8306",3,1,23,1,12,NA,7,1,0,5833.33349609375
"8309",3,1,30,1,96,NA,6,1,0,3791.66674804688
"8310",3,0,60,1,360,NA,6,1,0,2333.33325195312
"8311",2,0,49,1,2,NA,5,1,0,4226.5078125
"8312",2,0,20,3,36,NA,7,1,0,15555.5556640625
"8313",3,0,42,1,5,NA,4,1,0,3500
"8314",3,1,48,1,96,NA,4,1,0,3826.66674804688
"8316",2,1,35,1,84,NA,6,1,0,2333.33325195312
"8318",2,1,33,1,120,NA,6,1,0,3888.88891601562
"8320",2,0,31,1,84,NA,7,1,0,3733.33325195312
"8321",4,0,30,1,2,NA,7,1,0,4029.86108398438
"8326",4,1,44,1,200,NA,7,1,0,14583.3330078125
"8330",4,0,57,1,300,NA,7,1,0,35000
"8331",4,0,54,1,168,NA,7,1,0,12638.888671875
"8332",2,1,23,1,3,NA,7,1,0,4414.91455078125
"8333",2,0,23,1,30,NA,7,1,0,NA
"8334",3,1,23,1,2,NA,7,1,0,4573.33349609375
"8335",3,1,20,1,2,NA,6,1,0,4666.66650390625
"8336",3,1,45,1,2,NA,6,1,0,4666.66650390625
"8338",3,0,42,1,56,NA,6,1,0,3645.83325195312
"8339",3,1,45,1,47,NA,6,1,0,3607.40991210938
"8342",2,0,37,1,36,NA,5,1,0,4148.14794921875
"8343",2,0,33,1,24,NA,6,1,0,4530.3271484375
"8344",3,1,22,1,2,NA,7,1,0,5081.4814453125
"8345",3,0,56,1,300,NA,7,1,0,2777.77783203125
"8350",3,0,34,1,60,NA,4,1,0,2592.59252929688
"8352",3,0,57,1,36,NA,7,1,0,2545.45458984375
"8357",1,0,53,1,120,NA,4,1,0,2666.66674804688
"8358",2,0,46,1,12,NA,6,1,0,710.144897460938
"8363",1,1,39,1,12,NA,4,1,0,4344.33740234375
"8365",1,0,37,4,1,NA,6,1,0,2800
"8367",3,0,62,1,180,NA,5,1,0,5444.4443359375
"8368",3,0,36,1,180,NA,7,1,0,6666.66650390625
"8369",3,1,38,1,60,NA,7,1,0,NA
"8373",3,1,34,1,36,NA,6,1,0,3797.7041015625
"8375",3,0,25,1,48,NA,6,1,0,3111.11108398438
"8376",2,1,56,1,18,NA,5,1,0,995.555541992188
"8378",2,1,54,1,60,NA,5,1,0,5269.4443359375
"8379",2,1,23,1,36,NA,7,1,0,NA
"8380",2,1,50,1,216,NA,4,1,0,5293.9658203125
"8381",2,0,51,4,24,NA,4,1,0,5833.33349609375
"8383",2,0,20,1,6,NA,6,1,0,5071.80908203125
"8384",2,1,21,3,24,NA,7,1,0,1633.33337402344
"8385",2,0,46,6,84,NA,6,1,0,NA
"8386",2,1,57,1,84,NA,4,1,0,2651.51513671875
"8387",2,0,19,3,2,NA,7,1,0,4200
"8388",1,1,30,1,14,NA,3,1,0,4370.396484375
"8391",2,0,49,4,7,NA,5,1,0,3500
"8392",2,1,20,1,8,NA,7,1,0,3064.84326171875
"8393",2,0,30,1,24,NA,3,1,0,1500
"8394",2,1,29,1,36,NA,5,1,0,3333.33325195312
"8396",2,1,26,1,36,NA,4,1,0,3030.30297851562
"8397",4,1,52,1,58,NA,7,1,0,NA
"8399",4,0,50,1,58,NA,7,1,0,NA
"8400",3,1,51,1,48,NA,6,1,0,7514.56396484375
"8401",3,0,54,1,148,NA,4,1,0,5071.80908203125
"8402",3,1,28,1,2,NA,7,1,0,NA
"8405",4,0,24,1,5,NA,7,1,0,24305.5546875
"8406",4,1,34,1,2,NA,7,1,0,15555.5556640625
"8409",4,1,57,1,240,NA,7,1,0,52256.9453125
"8410",4,0,24,1,3,NA,7,1,0,17013.888671875
"8411",3,1,42,1,36,NA,3,1,0,5833.33349609375
"8413",3,1,22,1,3,NA,7,1,0,4861.111328125
"8414",2,1,75,6,192,NA,3,1,0,NA
"8415",2,0,71,6,192,NA,3,1,0,7777.77783203125
"8416",1,0,56,4,7,NA,1,1,0,1458.33337402344
"8420",2,0,59,6,10,NA,4,1,0,2333.33325195312
"8422",2,0,48,1,15,NA,5,1,0,NA
"8423",2,1,26,1,5,NA,7,1,0,4226.5078125
"8424",2,1,55,6,24,NA,6,1,0,3402.77783203125
"8428",2,1,45,1,12,NA,3,1,0,4004.62939453125
"8429",2,0,40,1,240,NA,4,1,0,1944.44445800781
"8430",2,1,38,1,6,NA,3,1,0,2916.66674804688
"8431",2,0,31,1,48,NA,7,1,0,5571.85888671875
"8434",1,0,51,1,24,NA,6,1,0,4096.5478515625
"8435",1,1,56,1,4,NA,3,1,0,3217.17163085938
"8436",1,1,20,1,2,NA,6,1,0,630.630615234375
"8438",4,1,38,1,120,NA,5,1,0,17013.888671875
"8439",4,0,41,1,120,NA,6,1,0,10694.4443359375
"8441",2,1,52,1,99,NA,4,1,0,NA
"8442",2,0,54,1,240,NA,4,1,0,1666.66662597656
"8443",2,1,48,1,18,NA,4,1,0,1666.66662597656
"8444",3,0,28,1,2,NA,7,1,0,3797.7041015625
"8447",2,1,42,1,60,NA,7,1,0,9479.1669921875
"8449",2,0,38,1,60,NA,7,1,0,8224.2861328125
"8452",1,1,26,1,0,NA,7,1,0,NA
"8453",1,0,49,1,1,NA,6,1,0,1944.44445800781
"8454",1,0,34,1,1,NA,6,1,0,2800
"8455",2,0,38,1,192,NA,7,1,0,11468.171875
"8456",2,1,21,3,0,NA,7,1,0,3500
"8458",3,1,21,1,36,NA,6,1,0,3266.66674804688
"8460",3,0,47,1,23,NA,6,1,0,864.197509765625
"8461",3,0,58,4,12,NA,6,1,0,1944.44445800781
"8462",3,1,29,1,36,NA,6,1,0,4779.05419921875
"8463",3,1,37,1,48,NA,5,1,0,4779.05419921875
"8464",3,1,33,1,2,NA,5,1,0,1458.33337402344
"8465",3,1,50,1,172,NA,3,1,0,3402.77783203125
"8467",2,0,34,1,5,NA,7,1,0,4083.33325195312
"8469",2,1,51,1,120,NA,6,1,0,6928.39501953125
"8470",2,0,48,1,96,NA,6,1,0,2592.59252929688
"8471",2,1,29,1,12,NA,7,1,0,3439.43017578125
"8472",2,0,19,3,96,NA,7,1,0,NA
"8474",2,1,24,1,6,NA,6,1,0,2592.59252929688
"8475",2,0,19,1,6,NA,7,1,0,4557.2451171875
"8478",3,0,33,1,120,NA,7,1,0,2916.66674804688
"8480",3,1,23,1,16,NA,7,1,0,4525.3515625
"8483",3,1,26,1,60,NA,6,1,0,3733.33325195312
"8487",3,1,57,1,216,NA,4,1,0,3402.77783203125
"8488",3,0,52,1,180,NA,5,1,0,2333.33325195312
"8490",2,1,25,1,3,NA,6,1,0,6222.22216796875
"8496",2,0,25,1,24,NA,6,1,0,5148.13232421875
"8498",2,1,42,1,300,NA,3,1,0,4444.4443359375
"8500",3,1,55,1,24,NA,5,1,0,4525.3515625
"8504",2,0,28,1,84,NA,4,1,0,4375
"8509",3,0,59,4,240,NA,4,1,0,1166.66662597656
"8511",3,0,39,1,18,NA,5,1,0,4226.5078125
"8513",3,0,23,1,3,NA,5,1,0,3797.7041015625
"8515",2,1,28,1,5,NA,7,1,0,6067.6923828125
"8516",2,0,30,1,72,NA,7,1,0,17442.69140625
"8519",2,0,23,1,4,NA,6,1,0,NA
"8524",2,1,57,1,44,NA,5,1,0,2916.66674804688
"8525",2,0,36,4,4,NA,7,1,0,6481.4814453125
"8526",2,1,30,2,18,NA,7,1,0,2916.66674804688
"8528",2,1,28,1,10,NA,7,1,0,13027.77734375
"8530",2,1,28,1,63,NA,7,1,0,5407.17626953125
"8531",2,0,28,1,7,NA,7,1,0,9333.3330078125
"8532",2,1,41,1,180,NA,7,1,0,2666.66674804688
"8534",2,0,55,1,3,NA,4,1,0,700
"8535",2,0,27,1,5,NA,4,1,0,3777.77783203125
"8536",2,1,33,1,2,NA,3,1,0,5246.80908203125
"8537",3,1,31,1,26,NA,7,1,0,11229.1669921875
"8538",3,0,30,1,7,NA,7,1,0,10709.0283203125
"8541",2,1,26,1,9,NA,6,1,0,5075
"8543",2,1,68,1,24,NA,6,1,0,3111.11108398438
"8545",2,0,51,1,72,NA,3,1,0,694.444458007812
"8548",2,0,31,1,4,NA,7,1,0,6666.66650390625
"8550",2,0,26,1,1,NA,7,1,0,6740.74072265625
"8551",2,1,19,3,12,NA,7,1,0,4666.66650390625
"8553",2,1,48,1,36,NA,7,1,0,3608.05786132812
"8554",2,0,45,1,48,NA,7,1,0,3759.25952148438
"8555",2,0,28,1,6,NA,6,1,0,3000
"8557",3,0,57,1,40,NA,3,1,0,3291.34350585938
"8566",2,1,38,1,36,NA,5,1,0,4537.037109375
"8570",2,1,29,1,24,NA,6,1,0,5029.15380859375
"8571",2,0,32,4,6,NA,6,1,0,622.222229003906
"8572",2,1,42,1,36,NA,3,1,0,6593.00146484375
"8573",2,0,24,3,8,NA,7,1,0,4480
"8574",2,1,55,1,24,NA,4,1,0,1944.44445800781
"8575",2,0,66,4,360,NA,4,1,0,5833.33349609375
"8576",2,1,60,4,24,NA,5,1,0,2916.66674804688
"8577",2,1,23,1,24,NA,7,1,0,4557.29150390625
"8578",2,1,64,1,80,NA,5,1,0,2666.66674804688
"8579",2,0,59,1,98,NA,6,1,0,2666.66674804688
"8582",2,1,56,1,30,NA,4,1,0,NA
"8583",2,0,24,1,6,NA,7,1,0,833.333312988281
"8584",2,0,57,1,276,NA,6,1,0,4463.52587890625
"8586",3,0,39,1,58,NA,7,1,0,21388.888671875
"8588",2,1,46,1,48,NA,7,1,0,11666.6669921875
"8589",2,0,44,1,35,NA,7,1,0,8513.1025390625
"8593",3,1,82,1,480,NA,3,1,0,3500
"8595",2,1,35,1,7,NA,6,1,0,3712.12109375
"8596",2,0,56,1,36,NA,5,1,0,793.333312988281
"8597",2,1,56,1,154,NA,3,1,0,6222.22216796875
"8600",3,0,34,1,24,NA,7,1,0,12962.962890625
"8602",2,0,24,1,32,NA,7,1,0,10308.1484375
"8607",2,1,34,1,3,NA,5,1,0,NA
"8609",2,0,29,6,3,NA,6,1,0,NA
"8611",2,1,27,1,84,NA,6,1,0,3888.88891601562
"8612",2,0,29,1,2,NA,6,1,0,5823.306640625
"8614",2,1,48,1,96,NA,4,1,0,3375.73706054688
"8616",3,1,68,1,12,NA,6,1,0,NA
"8617",3,0,65,1,480,NA,6,1,0,1944.44445800781
"8618",3,0,20,1,12,NA,6,1,0,5752.31494140625
"8621",2,1,65,1,98,NA,5,1,0,NA
"8622",2,1,24,1,12,NA,5,1,0,4083.33325195312
"8624",2,0,20,6,1,NA,5,1,0,11666.6669921875
"8625",2,1,52,1,94,NA,6,1,0,1944.44445800781
"8626",2,1,47,1,36,NA,3,1,0,5355.32373046875
"8627",2,1,19,1,1,NA,7,1,0,1847.22216796875
"8633",2,1,37,1,90,NA,7,1,0,NA
"8635",2,0,26,1,30,NA,7,1,0,12152.77734375
"8638",2,1,44,1,3,NA,7,1,0,NA
"8641",2,1,27,1,24,NA,7,1,0,7375.58740234375
"8644",2,1,30,1,12,NA,7,1,0,9722.22265625
"8646",2,1,65,1,240,NA,3,1,0,2592.59252929688
"8647",2,0,30,1,36,NA,7,1,0,4423.611328125
"8648",2,1,32,1,60,NA,6,1,0,6853.57177734375
"8650",3,1,62,1,360,NA,4,1,0,3305.5556640625
"8651",2,1,33,1,24,NA,5,1,0,5643.40673828125
"8652",2,0,58,1,48,NA,4,1,0,1891.89184570312
"8653",2,1,20,1,3,NA,6,1,0,5590.27783203125
"8655",2,0,37,1,12,NA,7,1,0,2333.33325195312
"8656",2,1,45,1,12,NA,7,1,0,2333.33325195312
"8660",3,1,29,1,144,NA,6,1,0,4210.8984375
"8661",3,0,22,1,24,NA,6,1,0,4072.35693359375
"8662",3,1,28,1,24,NA,5,1,0,3888.88891601562
"8663",3,0,27,1,36,NA,6,1,0,3919.23193359375
"8669",3,0,48,1,8,NA,6,1,0,3797.7041015625
"8673",2,0,44,1,120,NA,7,1,0,4525.3515625
"8674",3,1,53,1,360,NA,3,1,0,5833.33349609375
"8675",3,0,57,1,360,NA,6,1,0,5833.33349609375
"8676",3,1,20,1,60,NA,6,1,0,4666.66650390625
"8678",3,0,42,1,36,NA,4,1,0,5833.33349609375
"8679",3,0,25,1,2,NA,7,1,0,3259.75317382812
"8680",3,1,27,1,24,NA,4,1,0,2819.4443359375
"8682",2,1,22,1,0,NA,7,1,0,4535.99853515625
"8685",2,0,47,1,15,NA,6,1,0,4195.4580078125
"8691",2,0,48,1,6,NA,6,1,0,3942.51806640625
"8694",4,1,54,1,324,NA,7,1,0,17500
"8695",4,0,41,1,168,NA,7,1,0,25861.111328125
"8697",2,0,45,1,72,NA,5,1,0,5789.20703125
"8698",2,1,45,6,4,NA,6,1,0,3744.85595703125
"8702",3,1,37,1,6,NA,6,1,0,4615.435546875
"8703",3,1,61,1,24,NA,5,1,0,4101.5234375
"8704",3,0,36,1,3,NA,7,1,0,4949.63671875
"8705",3,0,51,1,24,NA,3,1,0,1944.44445800781
"8707",2,0,40,1,24,NA,7,1,0,5835.9794921875
"8708",2,0,39,1,20,NA,6,1,0,4609.95361328125
"8709",2,1,74,1,240,NA,3,1,0,3333.33325195312
"8711",2,0,39,1,107,NA,7,1,0,5460.0537109375
"8713",2,1,43,1,11,NA,7,1,0,5176.48828125
"8716",2,1,52,1,144,NA,6,1,0,2333.33325195312
"8719",2,1,41,1,84,NA,5,1,0,5711.21044921875
"8722",1,1,27,1,0,NA,6,1,0,4226.5078125
"8723",1,0,57,4,84,NA,5,1,0,3500
"8725",1,0,26,1,5,NA,7,1,0,4226.5078125
"8728",1,0,31,1,84,NA,5,1,0,3111.11108398438
"8729",1,1,37,1,120,NA,6,1,0,NA
"8731",2,0,25,1,36,NA,6,1,0,4719.7958984375
"8732",2,1,28,1,108,NA,6,1,0,10053.8037109375
"8733",2,0,30,1,60,NA,5,1,0,4690.62939453125
"8736",1,1,41,1,33,NA,6,1,0,5519.71337890625
"8737",1,0,26,6,36,NA,6,1,0,NA
"8739",1,0,37,4,36,NA,4,1,0,3500
"8740",1,0,20,1,0,NA,6,1,0,3840.583984375
"8741",1,1,26,6,12,NA,6,1,0,4226.5078125
"8746",4,1,65,1,180,NA,5,1,0,19444.4453125
"8747",2,1,60,1,180,NA,3,1,0,2268.5185546875
"8751",1,0,25,1,36,NA,6,1,0,2333.33325195312
"8752",1,1,28,1,1,NA,7,1,0,4192.63037109375
"8758",2,0,40,1,12,NA,7,1,0,4609.35888671875
"8760",2,0,53,1,264,NA,5,1,0,4166.66650390625
"8761",2,1,58,1,240,NA,4,1,0,3030.30297851562
"8762",2,1,23,1,11,NA,7,1,0,4803.8037109375
"8764",2,0,49,1,24,NA,5,1,0,4344.33740234375
"8767",2,1,61,1,48,NA,5,1,0,8545.8330078125
"8769",2,1,34,1,24,NA,7,1,0,NA
"8770",2,1,29,1,13,NA,7,1,0,17694.443359375
"8771",2,1,33,1,60,NA,7,1,0,28121.529296875
"8773",2,0,34,1,108,NA,6,1,0,5192.6923828125
"8774",2,1,35,1,72,NA,6,1,0,6407.97021484375
"8778",2,1,53,6,60,NA,6,1,0,3500
"8780",2,0,26,1,2,NA,7,1,0,5897.5537109375
"8782",3,1,59,1,270,NA,6,1,0,3888.88891601562
"8783",3,0,58,1,0,NA,7,1,0,6222.22216796875
"8785",3,0,52,1,24,NA,7,1,0,5787.4873046875
"8787",3,0,32,4,6,NA,7,1,0,7777.77783203125
"8790",3,1,21,3,2,NA,7,1,0,15555.5556640625
"8791",3,1,56,1,192,NA,7,1,0,9430.5556640625
"8792",3,1,28,1,4,NA,7,1,0,NA
"8795",3,1,29,1,60,NA,7,1,0,9100
"8799",2,1,30,1,12,NA,6,1,0,3797.7041015625
"8804",2,1,29,1,1,NA,6,1,0,2222.22216796875
"8805",2,0,32,1,48,NA,6,1,0,5054.0361328125
"8811",2,0,38,1,36,NA,5,1,0,1944.44445800781
"8814",2,1,64,1,360,NA,3,1,0,1944.44445800781
"8817",3,1,27,1,12,NA,7,1,0,11553.2412109375
"8819",3,1,43,4,1,NA,7,1,0,4666.66650390625
"8821",3,1,41,1,240,NA,4,1,0,1904.76196289062
"8825",2,0,26,2,1,NA,6,1,0,NA
"8826",3,0,26,6,2,NA,7,1,0,1400
"8828",3,0,63,1,0,NA,5,1,0,NA
"8829",3,0,33,1,54,NA,7,1,0,15306.6669921875
"8830",3,1,23,1,4,NA,6,1,0,4578.6162109375
"8831",3,1,29,1,14,NA,6,1,0,5886.46240234375
"8832",2,1,53,1,14,NA,6,1,0,5185.18505859375
"8833",2,0,44,1,46,NA,4,1,0,4745.2548828125
"8836",2,0,48,4,4,NA,7,1,0,4666.66650390625
"8838",2,1,27,1,3,NA,7,1,0,4226.5078125
"8840",2,0,42,1,120,NA,4,1,0,6014.22021484375
"8841",2,1,44,1,240,NA,5,1,0,3888.88891601562
"8842",2,0,22,1,9,NA,7,1,0,4226.5078125
"8843",2,0,39,1,5,NA,4,1,0,4518.17431640625
"8851",2,0,26,1,3,NA,4,1,0,2000
"8852",2,1,29,1,3,NA,5,1,0,2000
"8853",2,1,25,1,1,NA,5,1,0,3500
"8855",3,1,41,1,4,NA,7,1,0,23333.333984375
"8856",3,0,31,1,60,NA,7,1,0,10742.0830078125
"8861",3,0,38,1,18,NA,7,1,0,14583.3330078125
"8862",3,1,21,3,7,NA,7,1,0,11666.6669921875
"8863",3,1,33,1,48,NA,7,1,0,6066.66650390625
"8865",2,1,45,1,96,NA,4,1,0,4226.5078125
"8866",2,0,51,1,60,NA,4,1,0,3756.89575195312
"8868",3,1,57,1,72,NA,7,1,0,2722.22216796875
"8869",3,0,53,1,12,NA,6,1,0,3111.11108398438
"8870",3,1,27,1,24,NA,6,1,0,8651.2822265625
"8872",3,1,55,1,120,NA,4,1,0,NA
"8877",4,1,62,1,58,NA,7,1,0,NA
"8879",4,1,37,1,36,NA,7,1,0,NA
"8881",2,1,44,1,3,NA,5,1,0,4566.78564453125
"8883",4,0,54,1,5,NA,7,1,0,21875
"8884",4,1,47,1,48,NA,7,1,0,19444.4453125
"8886",2,1,47,1,1,NA,4,1,0,5939.39404296875
"8888",4,1,47,1,108,NA,7,1,0,18666.666015625
"8889",4,0,38,1,108,NA,6,1,0,9722.22265625
"8896",2,0,34,1,72,NA,6,1,0,4666.32373046875
"8897",2,0,39,1,60,NA,6,1,0,2531.0185546875
"8901",2,1,63,1,16,NA,3,1,0,3111.11108398438
"8902",4,1,59,1,108,NA,7,1,0,NA
"8903",4,0,56,1,432,NA,7,1,0,NA
"8907",2,1,64,1,240,NA,6,1,0,3500
"8908",2,0,55,1,120,NA,6,1,0,4666.32373046875
"8911",4,0,55,1,360,NA,7,1,0,3500
"8912",4,0,26,1,20,NA,7,1,0,2430.5556640625
"8913",4,1,24,1,4,NA,7,1,0,7747.44921875
"8914",2,0,55,6,7,NA,5,1,0,3888.88891601562
"8919",2,1,31,1,72,NA,6,1,0,9411.111328125
"8920",2,0,27,1,48,NA,7,1,0,1860.09997558594
"8921",3,1,32,1,36,NA,6,1,0,NA
"8922",3,0,40,1,15,NA,7,1,0,NA
"8925",2,0,57,4,60,NA,5,1,0,2333.33325195312
"8926",2,1,69,1,60,NA,5,1,0,2333.33325195312
"8927",2,0,38,1,36,NA,5,1,0,4530.3271484375
"8928",2,1,23,1,48,NA,6,1,0,1166.66662597656
"8933",2,1,28,1,3,NA,5,1,0,4317.6923828125
"8934",2,1,20,1,6,NA,5,1,0,3797.7041015625
"8935",2,0,18,3,4,NA,5,1,0,1458.33337402344
"8937",3,1,47,1,7,NA,7,1,0,4367.47998046875
"8938",3,0,47,1,264,NA,7,1,0,14083.6103515625
"8939",3,1,22,6,6,NA,7,1,0,3645.83325195312
"8943",2,1,33,1,132,NA,7,1,0,8629.6298828125
"8947",3,0,35,1,6,NA,7,1,0,14806.9443359375
"8948",3,1,29,1,7,NA,6,1,0,9924.7685546875
"8950",3,1,51,1,24,NA,6,1,0,NA
"8952",3,1,46,1,0,NA,6,1,0,5208.896484375
"8954",3,1,35,1,180,NA,7,1,0,NA
"8955",3,0,27,1,4,NA,7,1,0,13416.6669921875
"8959",3,0,72,1,300,NA,4,1,0,4666.66650390625
"8960",3,0,50,1,60,NA,5,1,0,5250
"8968",3,1,29,1,6,NA,6,1,0,6889.22021484375
"8970",3,1,58,1,244,NA,7,1,0,7291.66650390625
"8972",3,1,22,1,20,NA,7,1,0,4803.8037109375
"8973",3,0,44,1,24,NA,6,1,0,2625
"8980",3,1,29,1,36,NA,6,1,0,2745.09814453125
"8981",3,0,29,1,48,NA,6,1,0,6029.3798828125
"8986",2,0,43,4,2,NA,6,1,0,3558.33325195312
"8987",2,0,25,1,3,NA,7,1,0,7291.66650390625
"8988",2,0,18,1,3,NA,7,1,0,5227.7607421875
"8989",2,0,20,1,24,NA,7,1,0,6734.54638671875
"8990",2,1,20,1,36,NA,5,1,0,3333.33325195312
"8992",2,1,56,1,60,NA,4,1,0,1000
"8996",2,0,55,1,12,NA,4,1,0,NA
"8997",2,0,28,1,60,NA,7,1,0,9536.7861328125
"8998",2,1,29,1,24,NA,7,1,0,6732.0439453125
"8999",2,1,26,1,3,NA,4,1,0,2474.74755859375
"9004",2,1,46,1,72,NA,3,1,0,3961.8056640625
"9005",2,0,49,1,1,NA,5,1,0,NA
"9010",2,1,19,1,3,NA,6,1,0,3393.939453125
"9011",2,0,20,6,6,NA,7,1,0,3797.7041015625
"9013",2,1,55,1,2,NA,5,1,0,2898.1767578125
"9015",2,1,30,1,12,NA,6,1,0,6238.42626953125
"9019",2,0,24,1,8,NA,7,1,0,4226.5078125
"9022",3,0,57,1,96,NA,6,1,0,5423.48046875
"9023",3,0,54,1,7,NA,7,1,0,4525.3515625
"9024",3,1,25,1,1,NA,7,1,0,5461.728515625
"9025",3,1,68,6,24,NA,6,1,0,3333.33325195312
"9030",3,1,54,1,120,NA,7,1,0,5600
"9031",3,1,30,1,60,NA,7,1,0,7741.3193359375
"9033",3,0,43,1,60,NA,7,1,0,3593.05541992188
"9034",2,0,62,1,5,NA,4,1,0,2500
"9035",2,1,23,6,5,NA,6,1,0,NA
"9039",2,1,18,1,8,NA,4,1,0,1944.44445800781
"9040",2,0,24,6,8,NA,6,1,0,NA
"9044",2,1,23,6,2,NA,6,1,0,2592.59252929688
"9045",2,0,19,1,8,NA,5,1,0,4226.5078125
"9046",3,0,59,1,36,NA,6,1,0,5654.498046875
"9047",3,0,33,1,34,NA,7,1,0,7884.0087890625
"9048",2,1,20,1,48,NA,4,1,0,3888.88891601562
"9049",2,0,23,1,4,NA,6,1,0,3888.88891601562
"9050",2,1,38,1,24,NA,6,1,0,5476.10693359375
"9053",2,0,19,1,2,NA,6,1,0,3240.74072265625
"9058",3,1,31,1,32,NA,6,1,0,8802.5244140625
"9059",3,1,40,1,96,NA,6,1,0,4471.00634765625
"9062",1,1,45,1,240,NA,4,1,0,6326.95166015625
"9064",1,0,69,4,3,NA,5,1,0,1944.44445800781
"9066",1,1,50,1,2,NA,6,1,0,NA
"9067",1,1,19,1,0,NA,5,1,0,NA
"9068",2,1,36,1,36,NA,6,1,0,3017.91381835938
"9069",2,0,32,1,10,NA,6,1,0,3967.78002929688
"9076",3,0,41,1,72,NA,7,1,0,17013.888671875
"9077",3,1,39,1,240,NA,7,1,0,12152.77734375
"9078",3,1,23,1,12,NA,7,1,0,5225.6943359375
"9079",3,1,37,1,120,NA,7,1,0,16666.666015625
"9080",1,0,53,1,132,NA,6,1,0,5057.109375
"9081",1,1,53,1,53,NA,6,1,0,6626.72021484375
"9082",1,1,20,3,4,NA,6,1,0,3305.5556640625
"9083",1,0,19,1,3,NA,6,1,0,NA
"9085",3,1,24,1,36,NA,7,1,0,13153.453125
"9086",3,0,29,1,24,NA,7,1,0,4621.47314453125
"9087",3,1,22,1,1,NA,6,1,0,3797.7041015625
"9088",3,1,21,1,6,NA,6,1,0,5046.85888671875
"9089",3,0,56,1,48,NA,5,1,0,4226.5078125
"9090",3,1,34,1,48,NA,7,1,0,8750
"9092",3,0,30,1,96,NA,7,1,0,10446.52734375
"9095",2,1,36,1,96,NA,7,1,0,6460.41650390625
"9096",2,0,37,1,12,NA,6,1,0,4671.1845703125
"9098",1,1,23,1,24,NA,6,1,0,6869.77587890625
"9099",1,0,20,1,12,NA,6,1,0,4989.0732421875
"9100",3,0,53,1,23,NA,5,1,0,4083.33325195312
"9101",3,1,42,1,24,NA,4,1,0,2722.22216796875
"9105",3,1,43,1,276,NA,6,1,0,8394.765625
"9106",3,0,37,1,132,NA,7,1,0,7097.22216796875
"9108",2,1,34,1,36,NA,3,1,0,3111.11108398438
"9109",2,1,45,6,72,NA,4,1,0,4096.5478515625
"9112",2,1,39,1,0,NA,3,1,0,NA
"9116",2,1,25,1,24,NA,6,1,0,6076.388671875
"9117",2,0,23,1,36,NA,6,1,0,4212.037109375
"9119",2,1,26,1,60,NA,6,1,0,3381.642578125
"9121",2,1,28,1,36,NA,6,1,0,4641.7666015625
"9125",2,1,18,1,2,NA,6,1,0,2187.5
"9132",3,1,50,1,2,NA,6,1,0,NA
"9133",3,0,37,4,5,NA,6,1,0,17500
"9141",5,1,59,1,48,NA,7,1,0,NA
"9143",5,1,35,1,36,NA,7,1,0,NA
"9145",3,0,29,1,60,NA,6,1,0,5714.84326171875
"9147",2,0,35,1,37,NA,4,1,0,4525.3515625
"9148",2,1,26,1,18,NA,6,1,0,4525.3515625
"9149",2,1,74,1,156,NA,3,1,0,1814.81481933594
"9151",2,1,64,1,240,NA,4,1,0,3240.74072265625
"9152",2,0,44,1,240,NA,6,1,0,4332.8701171875
"9157",3,1,49,1,15,NA,6,1,0,6870.37060546875
"9158",3,0,37,4,96,NA,5,1,0,933.333312988281
"9159",3,0,18,6,4,NA,6,1,0,5833.33349609375
"9164",2,0,28,1,108,NA,7,1,0,9907.9697265625
"9165",5,1,58,1,324,NA,7,1,0,34027.77734375
"9166",5,0,53,1,348,NA,7,1,0,13842.5927734375
"9167",5,1,24,1,12,NA,7,1,0,13191.8662109375
"9171",1,1,28,1,6,NA,5,1,0,4200
"9172",1,0,27,1,12,NA,6,1,0,4908.20263671875
"9173",3,1,48,1,24,NA,6,1,0,6615.62890625
"9174",3,0,51,4,6,NA,4,1,0,NA
"9177",1,1,47,1,24,NA,6,1,0,4525.3759765625
"9178",1,0,52,4,5,NA,4,1,0,7000
"9183",5,1,25,1,48,NA,7,1,0,NA
"9185",5,1,34,1,18,NA,7,1,0,NA
"9186",1,0,32,1,4,NA,5,1,0,2531.802734375
"9187",1,1,49,1,12,NA,4,1,0,4530.3271484375
"9188",2,1,35,1,1,NA,4,1,0,2474.74755859375
"9189",2,0,33,4,4,NA,6,1,0,1296.29626464844
"9191",2,1,26,1,4,NA,5,1,0,NA
"9192",5,1,35,1,48,NA,7,1,0,40000
"9193",3,0,52,1,348,NA,6,1,0,3381.2060546875
"9195",3,1,27,3,12,NA,7,1,0,5366.66650390625
"9197",3,1,28,1,18,NA,6,1,0,6319.4443359375
"9199",5,0,58,1,225,NA,7,1,0,45959.59375
"9201",5,1,62,1,180,NA,7,1,0,38888.890625
"9204",3,1,30,1,96,NA,6,1,0,6862.12109375
"9205",1,1,26,1,1,NA,6,1,0,4666.66650390625
"9206",1,1,27,1,17,NA,6,1,0,4586.2958984375
"9207",1,0,24,1,36,NA,6,1,0,5338.52587890625
"9208",5,1,55,1,30,NA,7,1,0,35000
"9209",5,0,47,1,48,NA,7,1,0,46666.66796875
"9214",3,1,49,1,60,NA,7,1,0,8861.111328125
"9216",3,0,36,1,12,NA,7,1,0,8750
"9217",1,1,78,1,72,NA,3,1,0,NA
"9221",2,1,40,1,6,NA,6,1,0,5714.28564453125
"9222",2,0,29,1,3,NA,6,1,0,2916.66674804688
