"","estrato1","sex","age","p6240","p6426","ina","maxEducLevel","ocu","dsi","y_total_m_ha"
"251",3,1,19,1,14,NA,6,1,0,8263.888671875
"252",3,1,18,6,72,NA,7,1,0,5650.1015625
"253",3,0,46,1,2,NA,6,1,0,2100
"257",2,0,57,1,36,NA,6,1,0,3791.66674804688
"258",2,1,24,6,24,NA,6,1,0,8750
"260",2,1,24,1,11,NA,5,1,0,NA
"261",2,0,20,1,7,NA,7,1,0,3586.12426757812
"262",3,0,42,6,10,NA,7,1,0,NA
"265",2,0,57,1,120,NA,5,1,0,5833.33349609375
"268",2,1,42,6,18,NA,5,1,0,3442.67944335938
"270",2,1,25,1,30,NA,6,1,0,6196.9765625
"272",3,0,58,6,132,NA,7,1,0,18148.1484375
"273",2,1,46,1,72,NA,6,1,0,12133.3330078125
"276",2,1,54,6,240,NA,5,1,0,23333.333984375
"279",2,1,25,1,1,NA,6,1,0,4618.0556640625
"280",3,0,31,1,24,NA,7,1,0,10532.408203125
"283",3,0,23,6,12,NA,7,1,0,8295.2939453125
"284",3,1,25,2,3,NA,7,1,0,5268.31689453125
"285",2,1,26,1,24,NA,6,1,0,5833.33349609375
"289",3,1,31,1,36,NA,7,1,0,21875
"290",3,0,35,6,84,NA,7,1,0,21588.1953125
"291",2,1,52,1,96,NA,5,1,0,5670.3564453125
"293",2,0,51,1,24,NA,5,1,0,4289.12109375
"298",2,0,49,1,24,NA,6,1,0,1458.33337402344
"299",2,1,60,1,12,NA,6,1,0,6408.62939453125
"300",3,1,30,1,84,NA,6,1,0,6342.81005859375
"301",3,0,60,6,48,NA,5,1,0,NA
"302",3,1,32,1,1,NA,5,1,0,2500
"306",3,1,27,1,1,NA,3,1,0,5945.8193359375
"307",3,1,52,6,360,NA,6,1,0,2000
"309",3,0,48,6,390,NA,6,1,0,2000
"310",3,1,21,1,11,NA,7,1,0,3586.12426757812
"311",2,1,30,1,0,NA,7,1,0,4861.111328125
"313",2,1,55,1,6,NA,6,1,0,NA
"315",3,1,27,1,48,NA,7,1,0,16333.3330078125
"316",3,1,59,1,336,NA,3,1,0,5670.3564453125
"317",3,0,57,1,12,NA,4,1,0,7583.33349609375
"318",3,0,61,1,60,NA,3,1,0,2187.5
"319",3,1,52,1,78,NA,4,1,0,3888.88891601562
"322",3,1,43,1,24,NA,6,1,0,2871.794921875
"327",2,1,42,1,43,NA,7,1,0,6824.06005859375
"331",3,0,50,4,24,NA,7,1,0,2916.66674804688
"334",4,0,26,1,7,NA,7,1,0,11666.6669921875
"335",4,0,48,1,7,NA,5,1,0,15555.5556640625
"336",3,1,36,6,24,NA,6,1,0,4166.66650390625
"339",2,1,22,1,13,NA,6,1,0,3990.27709960938
"344",3,1,44,6,13,NA,7,1,0,NA
"345",3,0,41,1,120,NA,7,1,0,15798.611328125
"349",2,1,73,6,12,NA,3,1,0,NA
"350",2,0,44,1,144,NA,6,1,0,6095.83349609375
"351",2,1,21,1,12,NA,7,1,0,6723.59716796875
"353",2,1,19,1,11,NA,6,1,0,2430.5556640625
"354",2,1,37,6,4,NA,6,1,0,3111.11108398438
"355",2,0,39,6,20,NA,7,1,0,2360.31762695312
"359",2,1,19,1,5,NA,6,1,0,1000
"360",4,1,59,6,72,NA,7,1,0,38811.921875
"361",4,0,53,6,72,NA,7,1,0,4726.916015625
"365",4,0,51,1,9,NA,7,1,0,44444.4453125
"367",4,1,50,1,10,NA,7,1,0,9722.22265625
"368",4,1,31,6,60,NA,7,1,0,13043.9814453125
"369",4,0,56,1,360,NA,7,1,0,23333.333984375
"371",4,1,58,1,360,NA,7,1,0,17500
"372",4,0,28,1,1,NA,7,1,0,10521.60546875
"373",3,1,55,1,120,NA,6,1,0,NA
"374",3,0,50,4,4,NA,6,1,0,3500
"376",3,1,26,1,24,NA,7,1,0,6319.4443359375
"377",3,0,46,1,48,NA,5,1,0,2625
"378",3,1,58,1,480,NA,3,1,0,4375
"382",2,0,57,4,240,NA,7,1,0,9041.6669921875
"383",3,0,49,6,1,NA,7,1,0,2333.33325195312
"386",2,0,58,6,120,NA,7,1,0,16406.25
"389",3,0,55,4,50,NA,5,1,0,2333.33325195312
"392",3,1,25,6,12,NA,6,1,0,4294.0966796875
"393",2,0,29,1,60,NA,4,1,0,2000
"395",2,1,36,1,6,NA,6,1,0,3456.7900390625
"397",3,0,51,4,4,NA,4,1,0,1866.66662597656
"399",3,0,26,1,3,NA,7,1,0,12901.388671875
"401",1,0,57,1,240,NA,1,1,0,530.303039550781
"404",3,1,51,6,6,NA,6,1,0,7291.66650390625
"405",3,1,45,1,3,NA,6,1,0,2603.33325195312
"408",2,1,38,1,60,NA,6,1,0,4456.0185546875
"412",1,1,39,1,5,NA,7,1,0,4861.111328125
"414",3,1,36,1,54,NA,7,1,0,22847.22265625
"415",1,1,20,6,9,NA,5,1,0,2333.33325195312
"417",1,1,47,1,12,NA,3,1,0,5055.5556640625
"418",1,0,49,4,3,NA,5,1,0,2916.66674804688
"419",4,0,53,6,240,NA,7,1,0,75000
"420",4,0,27,6,24,NA,7,1,0,5833.33349609375
"423",2,1,22,6,8,NA,6,1,0,2660.18481445312
"425",2,0,50,4,60,NA,5,1,0,972.222229003906
"427",1,1,46,6,3,NA,4,1,0,3990.27709960938
"429",1,1,42,6,14,NA,5,1,0,3888.88891601562
"430",1,1,18,1,4,NA,6,1,0,3726.23388671875
"433",2,0,27,1,5,NA,6,1,0,4131.24951171875
"435",2,0,52,1,264,NA,7,1,0,5962.0234375
"438",1,1,64,1,48,NA,5,1,0,525
"439",2,0,55,1,84,NA,6,1,0,1215.27783203125
"440",2,1,37,1,12,NA,7,1,0,6319.4443359375
"442",2,0,46,1,60,NA,7,1,0,3888.88891601562
"443",1,1,63,1,176,NA,3,1,0,4050.92578125
"446",2,0,49,1,2,NA,4,1,0,4666.66650390625
"447",2,1,22,1,0,NA,6,1,0,4131.9443359375
"449",2,1,44,1,36,NA,7,1,0,4739.58349609375
"452",1,1,23,1,7,NA,6,1,0,4132.0595703125
"453",1,1,28,1,6,NA,3,1,0,2722.22216796875
"459",1,1,41,1,48,NA,5,1,0,3990.27709960938
"463",2,1,45,6,360,NA,6,1,0,5284.70849609375
"464",2,0,44,6,300,NA,6,1,0,5318.13330078125
"466",2,1,40,1,60,NA,7,1,0,5911.11083984375
"468",2,0,34,1,132,NA,7,1,0,5871.18505859375
"469",3,1,26,1,8,NA,6,1,0,3370.46240234375
"470",3,0,23,1,12,NA,6,1,0,5491.2490234375
"473",3,1,44,1,24,NA,4,1,0,4148.14794921875
"475",3,0,20,1,4,NA,6,1,0,4375
"478",3,1,44,6,24,NA,4,1,0,4430.09326171875
"479",3,1,20,6,36,NA,5,1,0,4200
"480",3,1,21,6,24,NA,6,1,0,6399.5234375
"481",3,1,22,6,36,NA,6,1,0,NA
"485",1,1,29,1,96,NA,5,1,0,NA
"486",3,1,24,1,1,NA,7,1,0,16333.3330078125
"487",2,0,38,4,48,NA,6,1,0,4166.66650390625
"489",2,1,43,1,24,NA,6,1,0,4666.66650390625
"492",2,1,32,1,12,NA,6,1,0,4861.111328125
"493",2,0,44,1,9,NA,6,1,0,3070.17553710938
"496",2,0,51,1,9,NA,4,1,0,5113.22119140625
"498",2,0,19,6,48,NA,6,1,0,1555.55554199219
"499",2,0,38,6,48,NA,4,1,0,4536.28515625
"500",2,1,43,1,3,NA,4,1,0,3259.6826171875
"502",2,1,54,1,36,NA,6,1,0,5371.666015625
"504",2,0,67,4,204,NA,5,1,0,3888.88891601562
"508",2,1,21,1,2,NA,6,1,0,3586.12426757812
"513",2,0,43,6,7,NA,6,1,0,4117.55615234375
"514",2,0,23,6,24,NA,7,1,0,NA
"515",2,0,43,1,144,NA,7,1,0,3111.11108398438
"516",2,0,37,1,60,NA,4,1,0,1750
"517",2,0,24,3,3,NA,7,1,0,1866.66662597656
"518",2,1,46,1,84,NA,6,1,0,NA
"521",2,0,43,1,6,NA,6,1,0,5482.60791015625
"523",2,1,43,1,99,NA,7,1,0,6175.2314453125
"525",2,1,33,1,5,NA,6,1,0,3733.33325195312
"530",2,0,32,1,12,NA,7,1,0,17937.5
"531",2,1,33,1,9,NA,6,1,0,NA
"533",2,1,52,1,168,NA,6,1,0,8444.4306640625
"534",2,0,23,6,36,NA,7,1,0,6329.70068359375
"539",1,1,35,1,132,NA,6,1,0,2784.42309570312
"540",1,0,23,1,3,NA,6,1,0,4430.09326171875
"543",1,0,21,1,36,NA,7,1,0,2592.59252929688
"546",2,0,41,1,36,NA,7,1,0,4003.7041015625
"549",2,1,54,1,24,NA,5,1,0,4289.12109375
"553",4,1,23,1,24,NA,7,1,0,10532.408203125
"554",4,1,27,6,6,NA,7,1,0,22361.111328125
"555",2,1,57,1,60,NA,6,1,0,4666.66650390625
"557",2,0,35,1,60,NA,7,1,0,2566.66674804688
"560",5,0,33,1,48,NA,7,1,0,72916.6640625
"562",3,1,63,1,48,NA,6,1,0,3500
"566",5,1,41,1,136,NA,7,1,0,77777.78125
"567",5,0,38,1,24,NA,7,1,0,42534.72265625
"575",5,1,28,6,3,NA,7,1,0,20416.666015625
"577",3,1,45,1,10,NA,6,1,0,11215.5556640625
"578",5,1,60,1,48,NA,7,1,0,NA
"583",3,0,49,1,1,NA,5,1,0,4375
"584",3,1,54,1,3,NA,7,1,0,10694.4443359375
"586",3,1,27,1,12,NA,7,1,0,6454.6533203125
"590",3,1,47,1,48,NA,4,1,0,3586.12426757812
"592",3,0,24,1,4,NA,7,1,0,5590.27783203125
"595",2,1,62,4,480,NA,4,1,0,4375
"596",2,1,44,4,11,NA,6,1,0,4355.5556640625
"598",3,1,42,1,8,NA,7,1,0,13165.5087890625
"599",2,1,63,6,360,NA,4,1,0,4289.12109375
"601",2,0,33,1,144,NA,7,1,0,5670.3564453125
"606",3,1,34,1,60,NA,7,1,0,37916.66796875
"607",3,0,34,1,69,NA,7,1,0,NA
"608",3,0,50,1,336,NA,5,1,0,3910.19848632812
"609",3,0,30,6,48,NA,7,1,0,5266.2041015625
"613",2,1,40,1,48,NA,6,1,0,5869.42041015625
"614",2,0,34,4,6,NA,5,1,0,6266.15087890625
"620",2,0,46,4,120,NA,5,1,0,3500
"622",2,1,23,1,48,NA,6,1,0,4472.22216796875
"623",2,0,23,1,12,NA,7,1,0,3743.23266601562
"625",2,0,38,1,6,NA,7,1,0,NA
"628",2,0,54,1,180,NA,5,1,0,1296.29626464844
"629",2,0,37,1,120,NA,6,1,0,1944.44445800781
"631",2,1,47,1,120,NA,4,1,0,2727.27270507812
"632",2,0,45,1,3,NA,5,1,0,848.48486328125
"633",2,0,18,4,8,NA,5,1,0,2083.33325195312
"634",2,1,23,1,36,NA,5,1,0,3535.353515625
"635",2,1,37,1,5,NA,5,1,0,3333.33325195312
"636",2,0,40,6,6,NA,7,1,0,NA
"639",3,1,40,1,144,NA,7,1,0,27222.22265625
"640",3,0,37,1,48,NA,7,1,0,42015.25390625
"641",3,0,41,1,12,NA,6,1,0,4739.58349609375
"645",2,0,33,1,84,NA,7,1,0,4666.66650390625
"646",2,0,26,1,28,NA,6,1,0,7109.375
"649",3,1,29,6,60,NA,7,1,0,13833.1005859375
"650",3,0,28,6,60,NA,7,1,0,6217.361328125
"651",2,0,52,4,36,NA,3,1,0,3888.88891601562
